<86>May 16 05:20:00 userdel[1824548]: delete user 'rooter'
<86>May 16 05:20:00 userdel[1824548]: removed group 'rooter' owned by 'rooter'
<86>May 16 05:20:00 userdel[1824548]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 05:20:00 groupadd[1824600]: group added to /etc/group: name=rooter, GID=1820
<86>May 16 05:20:00 groupadd[1824600]: group added to /etc/gshadow: name=rooter
<86>May 16 05:20:00 groupadd[1824600]: new group: name=rooter, GID=1820
<86>May 16 05:20:00 useradd[1824638]: new user: name=rooter, UID=1820, GID=1820, home=/root, shell=/bin/bash, from=none
<86>May 16 05:20:00 userdel[1824698]: delete user 'builder'
<86>May 16 05:20:00 userdel[1824698]: removed group 'builder' owned by 'builder'
<86>May 16 05:20:00 userdel[1824698]: removed shadow group 'builder' owned by 'builder'
<86>May 16 05:20:00 groupadd[1824746]: group added to /etc/group: name=builder, GID=1821
<86>May 16 05:20:00 groupadd[1824746]: group added to /etc/gshadow: name=builder
<86>May 16 05:20:00 groupadd[1824746]: new group: name=builder, GID=1821
<86>May 16 05:20:00 useradd[1824788]: new user: name=builder, UID=1821, GID=1821, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 05:20:06 rpmi: rpm-build-compat-2.4.8-alt1 sisyphus+383198.100.1.1 1746298985 installed
<13>May 16 05:20:06 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 05:20:06 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 05:20:06 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 05:20:06 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 05:20:06 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 05:20:06 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 05:20:06 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 05:20:06 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 05:20:06 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 05:20:06 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 05:20:06 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 05:20:06 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 05:20:06 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 05:20:06 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 05:20:06 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 05:20:07 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 05:20:07 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 16 05:20:07 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 05:20:07 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 05:20:07 rpmi: rpm-build-intro-2.4.8-alt1 sisyphus+383198.100.1.1 1746298985 installed
<13>May 16 05:20:07 rpmi: rpm-macros-qt6-webengine-0.2-alt2 sisyphus+344824.100.1.1 1712731804 installed
<13>May 16 05:20:07 rpmi: rpm-macros-qt6-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
warning: Macro %_ttffontsdir not found
warning: Macro %SOURCE2 not found
<13>May 16 05:20:13 rpmi: qt6-base-common-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 05:20:13 rpmi: qt6-declarative-common-6.8.2-alt1 sisyphus+377511.100.1.2 1741614717 installed
<13>May 16 05:20:13 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 05:20:13 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 05:20:13 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 05:20:13 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:20:13 rpmi: libopenjpeg2.0-2.5.3-alt1 sisyphus+376290.11300.24.2 1745386888 installed
<13>May 16 05:20:13 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 05:20:13 rpmi: qt6-wayland-common-6.8.2-alt1 sisyphus+374507.1300.8.2 1739835167 installed
<13>May 16 05:20:13 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 05:20:13 rpmi: libusb-1.0.27-alt1 sisyphus+347412.100.1.1 1714739651 installed
<13>May 16 05:20:13 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 05:20:13 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 05:20:13 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 05:20:13 rpmi: libsqlite3-3.47.1-alt1 sisyphus+375553.2600.2.1 1740149712 installed
<13>May 16 05:20:13 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 05:20:14 rpmi: libopus-1.5.2-alt1.1 sisyphus+366209.100.1.1 1734786371 installed
