<86>May 16 02:19:53 userdel[1609264]: delete user 'rooter'
<86>May 16 02:19:53 userdel[1609264]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:19:53 userdel[1609264]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:19:53 groupadd[1609335]: group added to /etc/group: name=rooter, GID=1862
<86>May 16 02:19:53 groupadd[1609335]: group added to /etc/gshadow: name=rooter
<86>May 16 02:19:53 groupadd[1609335]: new group: name=rooter, GID=1862
<86>May 16 02:19:53 useradd[1609387]: new user: name=rooter, UID=1862, GID=1862, home=/root, shell=/bin/bash, from=none
<86>May 16 02:19:53 userdel[1609493]: delete user 'builder'
<86>May 16 02:19:53 userdel[1609493]: removed group 'builder' owned by 'builder'
<86>May 16 02:19:53 userdel[1609493]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:19:53 groupadd[1609579]: group added to /etc/group: name=builder, GID=1863
<86>May 16 02:19:53 groupadd[1609579]: group added to /etc/gshadow: name=builder
<86>May 16 02:19:53 groupadd[1609579]: new group: name=builder, GID=1863
<86>May 16 02:19:53 useradd[1609653]: new user: name=builder, UID=1863, GID=1863, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 02:20:00 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 02:20:00 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 02:20:00 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:20:00 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 02:20:00 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 02:20:00 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 02:20:00 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 02:20:00 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
