<86>May 16 03:03:13 userdel[814256]: delete user 'rooter'
<86>May 16 03:03:13 userdel[814256]: removed group 'rooter' owned by 'rooter'
<86>May 16 03:03:13 userdel[814256]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 03:03:13 groupadd[814316]: group added to /etc/group: name=rooter, GID=1874
<86>May 16 03:03:13 groupadd[814316]: group added to /etc/gshadow: name=rooter
<86>May 16 03:03:13 groupadd[814316]: new group: name=rooter, GID=1874
<86>May 16 03:03:13 useradd[814369]: new user: name=rooter, UID=1874, GID=1874, home=/root, shell=/bin/bash, from=none
<86>May 16 03:03:13 userdel[814427]: delete user 'builder'
<86>May 16 03:03:13 userdel[814427]: removed group 'builder' owned by 'builder'
<86>May 16 03:03:13 userdel[814427]: removed shadow group 'builder' owned by 'builder'
<86>May 16 03:03:13 groupadd[814468]: group added to /etc/group: name=builder, GID=1875
<86>May 16 03:03:13 groupadd[814468]: group added to /etc/gshadow: name=builder
<86>May 16 03:03:13 groupadd[814468]: new group: name=builder, GID=1875
<86>May 16 03:03:13 useradd[814512]: new user: name=builder, UID=1875, GID=1875, home=/usr/src, shell=/bin/bash, from=none
/usr/src/in/srpm/felix-utils-1.11.8-alt1_2jpp11.src.rpm: license not found in '/usr/share/license' directory: ASL
/usr/src/in/srpm/felix-utils-1.11.8-alt1_2jpp11.src.rpm: license not found in '/usr/share/license' directory: 2.0
warning: Macro %pom_remove_parent not found
warning: Macro %pom_xpath_inject not found
warning: Macro %pom_remove_plugin not found
warning: Macro %mvn_file not found
warning: Macro %mvn_build not found
warning: Macro %mvn_install not found
<13>May 16 03:03:18 rpmi: javapackages-filesystem-1:6.0.0-alt3 sisyphus+378353.100.1.1 1742277151 installed
<13>May 16 03:03:18 rpmi: plexus-utils-0:3.3.0-alt1_7jpp11 sisyphus+283216.100.1.3 1629255397 installed
<13>May 16 03:03:18 rpmi: apache-commons-io-1:2.11.0-alt1_2jpp11 sisyphus+318723.100.1.1 1681807648 installed
<13>May 16 03:03:18 rpmi: maven-shared-utils-3.3.4-alt1_2jpp11 sisyphus+302881.100.1.1 1656671461 installed
<13>May 16 03:03:18 rpmi: plexus-containers-component-annotations-0:2.1.1-alt1_2jpp11 sisyphus+318726.100.1.3 1681809130 installed
<13>May 16 03:03:18 rpmi: atinject-0:1.0.5-alt1_3jpp11 sisyphus+303043.100.1.1 1656765531 installed
<13>May 16 03:03:18 rpmi: slf4j-0:1.7.36-alt1 sisyphus+382913.300.3.1 1746015802 installed
<13>May 16 03:03:18 rpmi: apache-commons-lang3-3.17.0-alt1 sisyphus+382425.100.5.2 1747315776 installed
<13>May 16 03:03:18 rpmi: plexus-interpolation-0:1.26-alt1_12jpp11 sisyphus+317222.100.1.2 1679506704 installed
<13>May 16 03:03:18 rpmi: apache-commons-compress-0:1.21-alt1_1jpp11 sisyphus+282760.100.1.3 1629016378 installed
<13>May 16 03:03:18 rpmi: javapackages-tools-1:6.0.0-alt3 sisyphus+378353.100.1.1 1742277151 installed
<13>May 16 03:03:18 rpmi: objectweb-asm-0:9.3-alt1_2jpp11 sisyphus+317150.100.1.2 1679414664 installed
<13>May 16 03:03:18 rpmi: jcl-over-slf4j-0:1.7.36-alt1 sisyphus+382913.300.3.1 1746015802 installed
<13>May 16 03:03:18 rpmi: cdi-api-2.0.2-alt1_3jpp11 sisyphus+300684.100.1.1 1653577326 installed
<13>May 16 03:03:18 rpmi: plexus-cipher-2.0-alt1_2jpp11 sisyphus+318725.100.1.2 1681808079 installed
<13>May 16 03:03:18 rpmi: httpcomponents-core-4.4.13-alt1_4jpp11 sisyphus+283282.100.1.3 1629308546 installed
<13>May 16 03:03:18 rpmi: plexus-classworlds-0:2.6.0-alt1_12jpp11 sisyphus+317221.100.1.2 1679504163 installed
<13>May 16 03:03:18 rpmi: sisu-2:0.3.5-alt1_2jpp11 sisyphus+318727.100.1.3 1681808440 installed
<13>May 16 03:03:18 rpmi: plexus-sec-dispatcher-2.0-alt1 sisyphus+382157.100.1.1 1745096363 installed
<13>May 16 03:03:18 rpmi: byte-buddy-1.12.0-alt1_3jpp11 sisyphus+303411.100.1.1 1657454125 installed
<13>May 16 03:03:18 rpmi: apache-commons-cli-0:1.5.0-alt1_3jpp11 sisyphus+303041.100.1.3 1656766127 installed
<13>May 16 03:03:18 rpmi: apache-commons-codec-0:1.15-alt1_4jpp11 sisyphus+283206.100.1.2 1629250805 installed
<13>May 16 03:03:18 rpmi: jakarta-annotations-1.3.5-alt1_11jpp11 sisyphus+300688.100.1.1 1653578883 installed
<13>May 16 03:03:18 rpmi: jansi-0:2.4.0-alt1_7jpp11 sisyphus+317216.100.1.3 1679501794 installed
<13>May 16 03:03:19 rpmi: xmvn-core-4.0.0-alt1_8jpp11 sisyphus+303446.100.1.1 1657533450 installed
<13>May 16 03:03:19 rpmi: opentest4j-1.2.0-alt1_10jpp11 sisyphus+303026.100.1.2 1656757807 installed
<13>May 16 03:03:19 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 03:03:19 rpmi: assertj-core-3.19.0-alt1_3jpp11 sisyphus+301632.100.1.1 1654767506 installed
<13>May 16 03:03:19 rpmi: java-common-1.7.0-alt1 sisyphus+333533.100.1.1 1699037019 installed
<13>May 16 03:03:19 rpmi: plexus-compiler-0:2.11.1-alt1_2jpp11 sisyphus+317154.100.1.3 1679416547 installed
<13>May 16 03:03:19 rpmi: plexus-io-0:3.2.0-alt1_9jpp11 sisyphus+303270.100.1.1 1657178206 installed
<13>May 16 03:03:19 rpmi: plexus-build-api-0:0.0.7-alt3_36jpp11 sisyphus+303029.100.1.3 1656759159 installed
<13>May 16 03:03:19 rpmi: apiguardian-1.1.2-alt1_3jpp11 sisyphus+303042.100.1.1 1656765526 installed
<13>May 16 03:03:19 rpmi: beust-jcommander-1.78-alt1_7jpp11 sisyphus+281813.100.1.1 1628094307 installed
<13>May 16 03:03:19 rpmi: xmvn-tools-4.0.0-alt1_8jpp11 sisyphus+303446.100.1.1 1657533450 installed
<13>May 16 03:03:19 rpmi: byte-buddy-agent-1.12.0-alt1_3jpp11 sisyphus+303411.100.1.1 1657454125 installed
<13>May 16 03:03:19 rpmi: jsr-305-1:3.0.2-alt1_3jpp11 sisyphus+283271.100.1.2 1629305577 installed
<13>May 16 03:03:19 rpmi: guava-31.0.1-alt2_3jpp11 sisyphus+384217.100.1.1 1747314227 installed
<13>May 16 03:03:19 rpmi: google-guice-0:4.2.3-alt1_6jpp11 sisyphus+300883.100.1.1 1653894654 installed
<13>May 16 03:03:19 rpmi: hamcrest-0:2.2-alt1_5jpp11 sisyphus+301728.200.1.1 1654860789 installed
<13>May 16 03:03:19 rpmi: junit-1:4.13.1-alt1_7jpp11 sisyphus+303013.100.1.2 1656753167 installed
<13>May 16 03:03:19 rpmi: jsoup-1.13.1-alt1_7jpp11 sisyphus+283208.100.1.3 1629252685 installed
<13>May 16 03:03:19 rpmi: univocity-parsers-2.9.1-alt1_6jpp11 sisyphus+303035.100.1.2 1656759759 installed
<13>May 16 03:03:19 rpmi: junit5-5.8.2-alt1 sisyphus+383557.100.1.1 1746628905 installed
<13>May 16 03:03:19 rpmi: xz-java-1.9-alt1_3jpp11 sisyphus+303072.100.1.2 1656772105 installed
<13>May 16 03:03:19 rpmi: plexus-archiver-0:4.2.7-alt1_2jpp11 sisyphus+317153.100.1.3 1679416196 installed
<13>May 16 03:03:19 rpmi: qdox-1:2.0.0-alt1_9jpp11 sisyphus+383527.200.1.1 1746616019 installed
<13>May 16 03:03:19 rpmi: plexus-languages-1.1.1-alt1_2jpp11 sisyphus+317156.100.1.3 1679417212 installed
<13>May 16 03:03:19 rpmi: objenesis-0:3.1-alt1_7jpp11 sisyphus+302027.100.1.2 1655142031 installed
<13>May 16 03:03:19 rpmi: libprocps-3.3.17-alt8.g37f1060 sisyphus+330939.300.7.1 1697495403 installed
<13>May 16 03:03:19 rpmi: libxslt-1.1.39-alt1 sisyphus+349406.100.1.1 1716751806 installed
<13>May 16 03:03:19 rpmi: rpm-macros-java-1:6.0.0-alt3 sisyphus+378353.100.1.1 1742277151 installed
<13>May 16 03:03:19 rpmi: jurand-1.3.5-alt2 sisyphus+377872.100.1.1 1741880705 installed
<13>May 16 03:03:19 rpmi: rpm-macros-jurand-1.3.5-alt2 sisyphus+377872.100.1.1 1741880705 installed
<13>May 16 03:03:19 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 03:03:19 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 03:03:19 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 03:03:19 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 03:03:19 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 03:03:19 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 03:03:19 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 03:03:19 rpmi: libbrotlicommon-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 03:03:19 rpmi: libbrotlidec-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 03:03:19 rpmi: libgraphite2-1.3.14-alt2.1 sisyphus+279571.100.1.2 1626605111 installed
<13>May 16 03:03:19 rpmi: libharfbuzz-11.2.1-alt1 sisyphus+384013.100.1.1 1747136771 installed
<13>May 16 03:03:19 rpmi: libfreetype-2.13.3-alt1 sisyphus+355656.100.1.1 1724221064 installed
<13>May 16 03:03:19 rpmi: javazi-2024a-alt1 sisyphus+344801.200.1.1 1712691734 installed
<13>May 16 03:03:19 rpmi: libgif-4.1.6-alt4 sisyphus+379672.40.3.1 1746456932 installed
<13>May 16 03:03:19 rpmi: libX11-locales-3:1.8.11-alt1 sisyphus+373040.100.1.1 1738571640 installed
<13>May 16 03:03:19 rpmi: libXdmcp-1.1.5-alt1 sisyphus+343583.700.1.1 1711441061 installed
<13>May 16 03:03:19 rpmi: libXau-1.0.11-alt1 sisyphus+311428.100.1.1 1670577439 installed
<13>May 16 03:03:19 rpmi: libxcb-1.17.0-alt1 sisyphus+345308.200.1.1 1713342004 installed
<13>May 16 03:03:19 rpmi: libX11-3:1.8.11-alt1 sisyphus+373040.100.1.1 1738571640 installed
<13>May 16 03:03:19 rpmi: libXext-1.3.6-alt1 sisyphus+343583.1000.1.1 1711441101 installed
<13>May 16 03:03:19 rpmi: libXi-1.8-alt1 sisyphus+285490.200.1.1 1632124174 installed
<13>May 16 03:03:19 rpmi: libXtst-1.2.4-alt1 sisyphus+308663.1300.1.1 1666168495 installed
<13>May 16 03:03:19 rpmi: libXrender-0.9.12-alt1 sisyphus+373121.100.1.1 1738654919 installed
<13>May 16 03:03:19 rpmi: publicsuffix-list-20250416-alt1 sisyphus+381887.100.1.1 1744900874 installed
<13>May 16 03:03:19 rpmi: httpcomponents-client-4.5.13-alt1_2jpp11 sisyphus+283281.100.1.3 1629307126 installed
<13>May 16 03:03:19 rpmi: maven-wagon-0:3.5.3-alt1 sisyphus+382913.400.3.1 1746015847 installed
<13>May 16 03:03:19 rpmi: maven-resolver-1:1.6.3-alt1 sisyphus+381949.100.1.1 1744966821 installed
<13>May 16 03:03:19 rpmi: xmvn-minimal-4.0.0-alt1_8jpp11 sisyphus+303446.100.1.1 1657533450 installed
<13>May 16 03:03:19 rpmi: maven-lib-1:3.8.8-alt1 sisyphus+382913.500.3.1 1746016050 installed
<13>May 16 03:03:19 rpmi: maven-1:3.8.8-alt1 sisyphus+382913.500.3.1 1746016050 installed
<13>May 16 03:03:19 rpmi: maven-archiver-0:3.5.2-alt1_2jpp11 sisyphus+317140.100.1.2 1679410347 installed
<13>May 16 03:03:19 rpmi: maven-common-artifact-filters-3.2.0-alt1_3jpp11 sisyphus+303056.100.1.2 1656767734 installed
<13>May 16 03:03:19 rpmi: maven-surefire-0:3.2.2-alt1 sisyphus+383557.300.1.1 1746629043 installed
<13>May 16 03:03:19 rpmi: maven-surefire-provider-junit-0:3.2.2-alt1 sisyphus+383557.300.1.1 1746629043 installed
<13>May 16 03:03:19 rpmi: maven-surefire-provider-junit5-0:3.2.2-alt1 sisyphus+383557.300.1.1 1746629043 installed
<13>May 16 03:03:19 rpmi: maven-surefire-provider-testng-0:3.2.2-alt1 sisyphus+383557.300.1.1 1746629043 installed
<13>May 16 03:03:19 rpmi: maven-surefire-plugin-0:3.2.2-alt1 sisyphus+383557.300.1.1 1746629043 installed
<13>May 16 03:03:19 rpmi: maven-shared-incremental-1.1-alt1_23jpp11 sisyphus+282537.100.1.1 1628793339 installed
<13>May 16 03:03:19 rpmi: maven-compiler-plugin-3.8.1-alt1_10jpp11 sisyphus+282511.100.1.2 1628772929 installed
<13>May 16 03:03:19 rpmi: maven-shared-io-1:3.0.0-alt1_17jpp11 sisyphus+303022.100.1.3 1656757260 installed
<13>May 16 03:03:19 rpmi: maven-file-management-1:3.0.0-alt1_17jpp11 sisyphus+303020.100.1.3 1656756699 installed
<13>May 16 03:03:19 rpmi: maven-jar-plugin-3.2.2-alt1_2jpp11 sisyphus+317144.100.1.3 1679413357 installed
<13>May 16 03:03:19 rpmi: maven-filtering-3.2.0-alt1_3jpp11 sisyphus+301764.100.1.2 1654889715 installed
<13>May 16 03:03:19 rpmi: maven-resources-plugin-3.2.0-alt1_4jpp11 sisyphus+282536.100.1.2 1628793650 installed
<13>May 16 03:03:19 rpmi: xmvn-mojo-4.0.0-alt1_8jpp11 sisyphus+303446.100.1.1 1657533450 installed
<13>May 16 03:03:19 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 03:03:19 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 03:03:19 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
