<86>May 16 01:47:22 userdel[1918800]: delete user 'rooter'
<86>May 16 01:47:22 userdel[1918800]: removed group 'rooter' owned by 'rooter'
<86>May 16 01:47:22 userdel[1918800]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 01:47:22 groupadd[1918844]: group added to /etc/group: name=rooter, GID=1874
<86>May 16 01:47:22 groupadd[1918844]: group added to /etc/gshadow: name=rooter
<86>May 16 01:47:22 groupadd[1918844]: new group: name=rooter, GID=1874
<86>May 16 01:47:22 useradd[1918870]: new user: name=rooter, UID=1874, GID=1874, home=/root, shell=/bin/bash, from=none
<86>May 16 01:47:22 userdel[1918900]: delete user 'builder'
<86>May 16 01:47:22 userdel[1918900]: removed group 'builder' owned by 'builder'
<86>May 16 01:47:22 userdel[1918900]: removed shadow group 'builder' owned by 'builder'
<86>May 16 01:47:22 groupadd[1918931]: group added to /etc/group: name=builder, GID=1875
<86>May 16 01:47:22 groupadd[1918931]: group added to /etc/gshadow: name=builder
<86>May 16 01:47:22 groupadd[1918931]: new group: name=builder, GID=1875
<86>May 16 01:47:22 useradd[1918961]: new user: name=builder, UID=1875, GID=1875, home=/usr/src, shell=/bin/bash, from=none
warning: Macro %Kbuild not found
warning: Macro %Kinstall not found
<13>May 16 01:47:26 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 01:47:26 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 01:47:26 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 01:47:26 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 01:47:26 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 01:47:26 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 01:47:26 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 01:47:26 rpmi: libatk-2.56.2-alt1 sisyphus+382828.100.1.1 1745927618 installed
<13>May 16 01:47:26 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 01:47:26 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 01:47:26 rpmi: libgraphite2-1.3.14-alt2.1 sisyphus+279571.100.1.2 1626605111 installed
<13>May 16 01:47:26 rpmi: zlib-devel-1.3.1-alt1 sisyphus+342532.100.1.1 1710232285 installed
<13>May 16 01:47:26 rpmi: libXdmcp-1.1.5-alt1 sisyphus+343583.700.1.1 1711441061 installed
<13>May 16 01:47:26 rpmi: libXau-1.0.11-alt1 sisyphus+311428.100.1.1 1670577439 installed
