<86>May 16 01:47:40 userdel[1990965]: delete user 'rooter'
<86>May 16 01:47:40 userdel[1990965]: removed group 'rooter' owned by 'rooter'
<86>May 16 01:47:40 userdel[1990965]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 01:47:40 groupadd[1990994]: group added to /etc/group: name=rooter, GID=1874
<86>May 16 01:47:40 groupadd[1990994]: group added to /etc/gshadow: name=rooter
<86>May 16 01:47:40 groupadd[1990994]: new group: name=rooter, GID=1874
<86>May 16 01:47:40 useradd[1991035]: new user: name=rooter, UID=1874, GID=1874, home=/root, shell=/bin/bash, from=none
<86>May 16 01:47:40 userdel[1991089]: delete user 'builder'
<86>May 16 01:47:40 userdel[1991089]: removed group 'builder' owned by 'builder'
<86>May 16 01:47:40 userdel[1991089]: removed shadow group 'builder' owned by 'builder'
<86>May 16 01:47:40 groupadd[1991131]: group added to /etc/group: name=builder, GID=1875
<86>May 16 01:47:40 groupadd[1991131]: group added to /etc/gshadow: name=builder
<86>May 16 01:47:40 groupadd[1991131]: new group: name=builder, GID=1875
<86>May 16 01:47:40 useradd[1991165]: new user: name=builder, UID=1875, GID=1875, home=/usr/src, shell=/bin/bash, from=none
warning: Macro %Kbuild not found
warning: Macro %Kinstall not found
<13>May 16 01:47:44 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 01:47:44 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 01:47:44 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 01:47:44 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 01:47:44 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 01:47:44 rpmi: libatk-2.56.2-alt1 sisyphus+382828.100.1.1 1745927618 installed
<13>May 16 01:47:44 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 01:47:44 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 01:47:44 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 01:47:44 rpmi: xml-utils-1:2.12.9-alt1 sisyphus+355784.100.1.1 1724333686 installed
