<86>May 16 02:25:35 userdel[1903385]: delete user 'rooter'
<86>May 16 02:25:35 userdel[1903385]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:25:35 userdel[1903385]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:25:35 groupadd[1903457]: group added to /etc/group: name=rooter, GID=1223
<86>May 16 02:25:35 groupadd[1903457]: group added to /etc/gshadow: name=rooter
<86>May 16 02:25:35 groupadd[1903457]: new group: name=rooter, GID=1223
<86>May 16 02:25:35 useradd[1903564]: new user: name=rooter, UID=1223, GID=1223, home=/root, shell=/bin/bash, from=none
<86>May 16 02:25:35 userdel[1903641]: delete user 'builder'
<86>May 16 02:25:35 userdel[1903641]: removed group 'builder' owned by 'builder'
<86>May 16 02:25:35 userdel[1903641]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:25:35 groupadd[1903696]: group added to /etc/group: name=builder, GID=1224
<86>May 16 02:25:35 groupadd[1903696]: group added to /etc/gshadow: name=builder
<86>May 16 02:25:35 groupadd[1903696]: new group: name=builder, GID=1224
<86>May 16 02:25:35 useradd[1903744]: new user: name=builder, UID=1224, GID=1224, home=/usr/src, shell=/bin/bash, from=none
/usr/src/in/srpm/jvgs-0.5-alt3.src.rpm: The use of such a license name is ambiguous: GPL
<13>May 16 02:25:43 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 02:25:43 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 02:25:43 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 02:25:43 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:25:43 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 02:25:43 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 02:25:43 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 02:25:43 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 02:25:43 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 02:25:43 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 02:25:43 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 02:25:43 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 02:25:43 rpmi: libflac14-1.5.0-alt1 sisyphus+374510.100.1.1 1739435174 installed
<13>May 16 02:25:43 rpmi: libvorbis-1.3.7-alt1 sisyphus+275738.100.1.1 1624751601 installed
<13>May 16 02:25:43 rpmi: libmpg123-1:1.32.10-alt1 sisyphus+365072.100.1.1 1734226035 installed
<13>May 16 02:25:43 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 02:25:44 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 02:25:44 rpmi: zlib-devel-1.3.1-alt1 sisyphus+342532.100.1.1 1710232285 installed
<13>May 16 02:25:44 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 02:25:44 rpmi: xml-utils-1:2.12.9-alt1 sisyphus+355784.100.1.1 1724333686 installed
<13>May 16 02:25:44 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 02:25:44 rpmi: libltdl7-2.4.7-alt5 sisyphus+341963.200.3.1 1711659208 installed
<13>May 16 02:25:44 rpmi: libopenjpeg2.0-2.5.3-alt1 sisyphus+376290.11300.24.2 1745386888 installed
<13>May 16 02:25:44 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 02:25:44 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 02:25:44 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 02:25:44 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 02:25:44 rpmi: libfribidi-1.0.16-alt1 sisyphus+358393.100.1.1 1727333692 installed
<13>May 16 02:25:44 rpmi: libbrotlicommon-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 02:25:44 rpmi: libbrotlidec-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 02:25:44 rpmi: libgraphite2-1.3.14-alt2.1 sisyphus+279571.100.1.2 1626605111 installed
<13>May 16 02:25:44 rpmi: libharfbuzz-11.2.1-alt1 sisyphus+384013.100.1.1 1747136771 installed
<13>May 16 02:25:44 rpmi: libfreetype-2.13.3-alt1 sisyphus+355656.100.1.1 1724221064 installed
<13>May 16 02:25:44 rpmi: libfontconfig1-2.16.0-alt1 sisyphus+374470.100.1.1 1739370046 installed
<13>May 16 02:25:44 rpmi: libXdmcp-1.1.5-alt1 sisyphus+343583.700.1.1 1711441061 installed
<13>May 16 02:25:44 rpmi: libXau-1.0.11-alt1 sisyphus+311428.100.1.1 1670577439 installed
<13>May 16 02:25:44 rpmi: libxcb-1.17.0-alt1 sisyphus+345308.200.1.1 1713342004 installed
<13>May 16 02:25:46 rpmi: libxcb-devel-1.17.0-alt1 sisyphus+345308.200.1.1 1713342004 installed
<13>May 16 02:25:46 rpmi: libdeflate-1.24-alt1 sisyphus+384095.100.1.1 1747211183 installed
