<86>May 16 03:22:15 userdel[513435]: delete user 'rooter'
<86>May 16 03:22:15 userdel[513435]: removed group 'rooter' owned by 'rooter'
<86>May 16 03:22:15 userdel[513435]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 03:22:15 groupadd[513456]: group added to /etc/group: name=rooter, GID=1253
<86>May 16 03:22:15 groupadd[513456]: group added to /etc/gshadow: name=rooter
<86>May 16 03:22:15 groupadd[513456]: new group: name=rooter, GID=1253
<86>May 16 03:22:15 useradd[513474]: new user: name=rooter, UID=1253, GID=1253, home=/root, shell=/bin/bash, from=none
<86>May 16 03:22:15 userdel[513497]: delete user 'builder'
<86>May 16 03:22:15 groupadd[513514]: group added to /etc/group: name=builder, GID=1254
<86>May 16 03:22:15 groupadd[513514]: group added to /etc/gshadow: name=builder
<86>May 16 03:22:15 groupadd[513514]: new group: name=builder, GID=1254
<86>May 16 03:22:15 useradd[513528]: new user: name=builder, UID=1254, GID=1254, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 03:22:21 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 03:22:21 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 03:22:21 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 03:22:21 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 03:22:21 rpmi: libts0-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 03:22:21 rpmi: qt5-base-common-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:21 rpmi: qt5-declarative-common-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:22:21 rpmi: libmtdev-1.1.6-alt1 sisyphus+278361.100.1.1 1626091644 installed
<13>May 16 03:22:21 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 03:22:21 rpmi: libevdev-1.13.4-alt1 sisyphus+379223.100.1.1 1742909304 installed
<13>May 16 03:22:21 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 03:22:21 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 03:22:21 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 03:22:21 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 03:22:21 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 03:22:21 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 03:22:21 rpmi: libhogweed6-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 03:22:21 rpmi: libgnutls30-3.8.9-alt1 sisyphus+380042.200.2.1 1743618110 installed
<13>May 16 03:22:21 rpmi: libngtcp2.16-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 03:22:21 rpmi: libngtcp2_crypto_gnutls8-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 03:22:21 rpmi: rpm-macros-qt5-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:21 rpmi: rpm-build-xdg-0.2-alt1 1250461503 installed
<13>May 16 03:22:21 rpmi: libsqlite3-3.47.1-alt1 sisyphus+375553.2600.2.1 1740149712 installed
<13>May 16 03:22:21 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 03:22:21 rpmi: libwacom-data-2.15.0-alt1 sisyphus+378824.100.1.1 1742614418 installed
<13>May 16 03:22:21 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 03:22:22 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 03:22:22 rpmi: libgudev-1:238-alt1 sisyphus+324364.100.1.1 1688646144 installed
<13>May 16 03:22:22 rpmi: desktop-file-utils-0.26-alt6 sisyphus+331944.100.1.3 1697550026 installed
<13>May 16 03:22:22 rpmi: shared-mime-info-2.4-alt1 sisyphus+334259.100.1.1 1699787316 installed
<13>May 16 03:22:22 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 03:22:22 rpmi: libgraphite2-1.3.14-alt2.1 sisyphus+279571.100.1.2 1626605111 installed
<13>May 16 03:22:22 rpmi: libduktape207-2.7.0-alt3 sisyphus+352341.100.1.1 1720324462 installed
<13>May 16 03:22:22 rpmi: libdouble-conversion3-3.3.1-alt1 sisyphus+375894.100.1.1 1740393427 installed
<13>May 16 03:22:23 rpmi: libqt5-core-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:23 rpmi: libqt5-sql-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:23 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 03:22:23 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 03:22:23 rpmi: libqt5-dbus-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:23 rpmi: publicsuffix-list-dafsa-20250416-alt1 sisyphus+381887.100.1.1 1744900874 installed
<13>May 16 03:22:23 rpmi: libpsl-0.21.5-alt1 sisyphus+338474.100.1.1 1705684769 installed
<13>May 16 03:22:23 rpmi: libnghttp3.9-1.9.0-alt1 sisyphus+382655.100.1.1 1745743397 installed
<13>May 16 03:22:23 rpmi: libnghttp2-1.65.0-alt1 sisyphus+377060.100.1.1 1741259309 installed
<13>May 16 03:22:23 rpmi: openldap-common-2.6.9-alt2 sisyphus+367501.300.4.1 1735841751 installed
<13>May 16 03:22:23 rpmi: libntlm-1.5-alt2 sisyphus+379810.500.4.1 1743501147 installed
<13>May 16 03:22:23 rpmi: libidn-1.37-alt2 sisyphus+300849.100.1.1 1653769687 installed
<13>May 16 03:22:23 rpmi: libverto-0.3.2-alt1_1 sisyphus+321176.2200.10.2 1684803947 installed
<13>May 16 03:22:23 rpmi: liblmdb-0.9.33-alt1 sisyphus+360625.100.1.1 1729819640 installed
<13>May 16 03:22:23 rpmi: libkeyutils-1.6.3-alt1 sisyphus+346336.200.2.2 1716472658 installed
<13>May 16 03:22:23 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 03:22:23 rpmi: libcom_err-1.47.1.0.10.ad56-alt2 sisyphus+363497.200.3.1 1732729908 installed
<13>May 16 03:22:23 rpmi: libbrotlicommon-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 03:22:23 rpmi: libbrotlidec-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 03:22:23 rpmi: libharfbuzz-11.2.1-alt1 sisyphus+384013.100.1.1 1747136771 installed
<13>May 16 03:22:23 rpmi: libfreetype-2.13.3-alt1 sisyphus+355656.100.1.1 1724221064 installed
<13>May 16 03:22:23 rpmi: libfontconfig1-2.16.0-alt1 sisyphus+374470.100.1.1 1739370046 installed
<13>May 16 03:22:23 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 03:22:23 rpmi: libSDL2-2.32.6-alt1 sisyphus+383337.100.1.1 1746466019 installed
<13>May 16 03:22:23 rpmi: tslib-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 03:22:23 rpmi: libxshmfence-1.3.2-alt1 sisyphus+311428.400.1.1 1670577525 installed
<13>May 16 03:22:23 rpmi: libsensors3-3.6.0-alt4 sisyphus+366234.100.1.1 1734814779 installed
<13>May 16 03:22:23 rpmi: libX11-locales-3:1.8.11-alt1 sisyphus+373040.100.1.1 1738571640 installed
<13>May 16 03:22:23 rpmi: libspirv-tools0-1:2025.2-alt0.1.rc2 sisyphus+383827.500.1.1 1746996673 installed
<13>May 16 03:22:23 rpmi: llvm19.1-filesystem-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275526 installed
<13>May 16 03:22:23 rpmi: llvm19.1-polly-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275526 installed
<13>May 16 03:22:23 rpmi: libedit3-3.1.20250104-alt1 sisyphus+384216.200.2.1 1747315147 installed
<13>May 16 03:22:23 rpmi: llvm19.1-gold-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275526 installed
<13>May 16 03:22:25 rpmi: llvm19.1-libs-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275526 installed
<13>May 16 03:22:25 rpmi: libXdmcp-1.1.5-alt1 sisyphus+343583.700.1.1 1711441061 installed
<13>May 16 03:22:25 rpmi: libXau-1.0.11-alt1 sisyphus+311428.100.1.1 1670577439 installed
<13>May 16 03:22:25 rpmi: libxcb-1.17.0-alt1 sisyphus+345308.200.1.1 1713342004 installed
<13>May 16 03:22:25 rpmi: libX11-3:1.8.11-alt1 sisyphus+373040.100.1.1 1738571640 installed
<13>May 16 03:22:25 rpmi: libXext-1.3.6-alt1 sisyphus+343583.1000.1.1 1711441101 installed
<13>May 16 03:22:25 rpmi: libXxf86vm-1.1.5-alt1 sisyphus+308663.1400.1.1 1666168523 installed
<13>May 16 03:22:25 rpmi: libXfixes-6.0.1-alt1 sisyphus+331490.300.1.1 1697023233 installed
<13>May 16 03:22:25 rpmi: libXrender-0.9.12-alt1 sisyphus+373121.100.1.1 1738654919 installed
<13>May 16 03:22:25 rpmi: libxcbutil-icccm-0.4.1-alt2 sisyphus+278275.100.1.2 1626148616 installed
<13>May 16 03:22:25 rpmi: libxcbutil-1:0.4.1-alt1 sisyphus+312057.100.1.1 1671526887 installed
<13>May 16 03:22:25 rpmi: libxcbutil-image-0.4.0-alt1 sisyphus+275413.100.1.3 1624505793 installed
<13>May 16 03:22:25 rpmi: libxcbutil-keysyms-0.4.0-alt1 sisyphus+278187.100.1.1 1626075966 installed
<13>May 16 03:22:25 rpmi: libxcb-render-util-0.3.9-alt3 sisyphus+276916.100.1.2 1625275234 installed
<13>May 16 03:22:25 rpmi: libxkbcommon-x11-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 03:22:25 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 03:22:25 rpmi: libpciaccess-1:0.18.1-alt1 sisyphus+343583.300.1.1 1711440789 installed
<13>May 16 03:22:25 rpmi: libdrm-1:2.4.124-alt2 sisyphus+377609.100.1.1 1741680389 installed
<13>May 16 03:22:26 rpmi: libGLX-mesa-4:25.0.6-alt1 sisyphus+384218.100.1.2 1747317088 installed
<13>May 16 03:22:26 rpmi: libgbm-4:25.0.6-alt1 sisyphus+384218.100.1.2 1747317088 installed
<13>May 16 03:22:26 rpmi: libEGL-mesa-4:25.0.6-alt1 sisyphus+384218.100.1.2 1747317088 installed
<13>May 16 03:22:26 rpmi: libEGL-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 03:22:26 rpmi: libGLX-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 03:22:26 rpmi: libGL-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 03:22:26 rpmi: gsettings-desktop-schemas-data-48.0-alt1 sisyphus+378339.40.1.1 1742244109 installed
<13>May 16 03:22:26 rpmi: libgio-2.84.1-alt1 sisyphus+380348.100.1.1 1743722269 installed
<13>May 16 03:22:26 rpmi: gsettings-desktop-schemas-48.0-alt1 sisyphus+378339.40.1.1 1742244109 installed
<13>May 16 03:22:26 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 03:22:26 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 03:22:26 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 03:22:26 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 03:22:26 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 03:22:27 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 03:22:27 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<86>May 16 03:22:27 groupadd[541888]: group added to /etc/group: name=_keytab, GID=999
<86>May 16 03:22:27 groupadd[541888]: group added to /etc/gshadow: name=_keytab
<86>May 16 03:22:27 groupadd[541888]: new group: name=_keytab, GID=999
<13>May 16 03:22:27 rpmi: libkrb5-1.21.3-alt2 sisyphus+351857.100.1.1 1719735141 installed
<13>May 16 03:22:27 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 03:22:28 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 03:22:28 rpmi: python3-module-pyudev-0.24.3-alt1 sisyphus+347852.100.1.1 1715497013 installed
<13>May 16 03:22:28 rpmi: python3-module-libevdev-0.11-alt1 sisyphus+300877.100.1.1 1653893962 installed
<13>May 16 03:22:28 rpmi: libwacom-2.15.0-alt1 sisyphus+378824.100.1.1 1742614418 installed
<13>May 16 03:22:28 rpmi: libinput-1.28.1-alt1 sisyphus+379958.100.1.1 1743546134 installed
<13>May 16 03:22:28 rpmi: libgsasl18-2.2.1-alt2 sisyphus+359713.200.2.1 1728905430 installed
<86>May 16 03:22:28 groupadd[544074]: group added to /etc/group: name=sasl, GID=998
<86>May 16 03:22:28 groupadd[544074]: group added to /etc/gshadow: name=sasl
<86>May 16 03:22:28 groupadd[544074]: new group: name=sasl, GID=998
<13>May 16 03:22:28 rpmi: libsasl2-3-2.1.28-alt2.1 sisyphus+367419.100.1.1 1735482560 installed
<13>May 16 03:22:28 rpmi: libldap2-2.6.9-alt2 sisyphus+367501.300.4.1 1735841751 installed
<13>May 16 03:22:28 rpmi: libssh2-1.11.0-alt2 sisyphus+339356.100.1.1 1706593137 installed
<13>May 16 03:22:28 rpmi: libcurl-8.13.0-alt1 sisyphus+380015.100.1.1 1743595100 installed
<13>May 16 03:22:28 rpmi: libproxy-0.5.9-alt1 sisyphus+360721.100.1.1 1729865346 installed
<13>May 16 03:22:28 rpmi: libqt5-network-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:28 rpmi: libqt5-xcbqpa-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:28 rpmi: libqt5-eglfskmssupport-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:28 rpmi: libqt5-eglfsdeviceintegration-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:28 rpmi: libqt5-gui-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:28 rpmi: libqt5-qmlmodels-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:22:28 rpmi: libqt5-qmlworkerscript-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:22:28 rpmi: libqt5-quick-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:22:28 rpmi: libqt5-quickshapes-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:22:28 rpmi: libqt5-qml-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:22:28 rpmi: rpm-build-qml-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:22:28 rpmi: rpm-build-kf5-5.116.0-alt1 sisyphus+380720.100.1.1 1744027652 installed
<13>May 16 03:22:51 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 03:22:51 rpmi: kf5-filesystem-5.100.1-alt1 sisyphus+333884.100.1.2 1699476475 installed
<13>May 16 03:22:51 rpmi: libqt5-widgets-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:51 rpmi: libqt5-xml-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:22:52 rpmi: libxcb-devel-1.17.0-alt1 sisyphus+345308.200.1.1 1713342004 installed
<13>May 16 03:22:52 rpmi: libX11-devel-3:1.8.11-alt1 sisyphus+373040.100.1.1 1738571640 installed
<13>May 16 03:22:52 rpmi: xml-utils-1:2.12.9-alt1 sisyphus+355784.100.1.1 1724333686 installed
<13>May 16 03:22:52 rpmi: libXrender-devel-0.9.12-alt1 sisyphus+373121.100.1.1 1738654919 installed
<13>May 16 03:22:52 rpmi: libXfixes-devel-6.0.1-alt1 sisyphus+331490.300.1.1 1697023233 installed
<13>May 16 03:22:52 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 03:22:52 rpmi: libplist-2.2.0-alt1 sisyphus+276395.100.1.1 1624993066 installed
<13>May 16 03:22:52 rpmi: perl-HTTP-Date-6.06-alt1 sisyphus+324527.100.1.1 1688834564 installed
<13>May 16 03:22:52 rpmi: libXt-1.3.0-alt1 sisyphus+331490.500.1.1 1697023310 installed
<13>May 16 03:22:52 rpmi: libXmu-1.2.0-alt1 sisyphus+343583.1200.1.1 1711441172 installed
<13>May 16 03:22:52 rpmi: kf5-kio-common-5.116.0-alt7 sisyphus+360996.200.1.1 1730119248 installed
<13>May 16 03:22:52 rpmi: perl-LWP-MediaTypes-6.04-alt1 sisyphus+225468.100.1.1 1553186684 installed
<13>May 16 03:22:52 rpmi: perl-Compress-Raw-Zlib-2.213-alt1 sisyphus+381778.100.1.1 1744806505 installed
<13>May 16 03:22:53 rpmi: perl-libnet-1:3.15-alt1 sisyphus+317310.100.1.1 1679580208 installed
<13>May 16 03:22:53 rpmi: perl-Term-ANSIColor-5.01-alt1 sisyphus+244783.100.1.2 1579747505 installed
<13>May 16 03:22:53 rpmi: libxslt-1.1.39-alt1 sisyphus+349406.100.1.1 1716751806 installed
<13>May 16 03:22:53 rpmi: zlib-devel-1.3.1-alt1 sisyphus+342532.100.1.1 1710232285 installed
<13>May 16 03:22:53 rpmi: icon-theme-hicolor-0.18-alt1 sisyphus+349610.100.1.1 1716831669 installed
<13>May 16 03:22:53 rpmi: menu-icons-default-0.2.0.23-alt1 sisyphus+366296.100.1.1 1734946210 installed
<13>May 16 03:22:53 rpmi: altlinux-freedesktop-menu-icon-theme-default-0.0.26-alt1 1366231495 installed
<13>May 16 03:22:53 rpmi: libpng-devel-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 03:22:53 rpmi: perl-Data-Dump-1.25-alt1 sisyphus+276551.100.1.1 1625126880 installed
<13>May 16 03:22:53 rpmi: libkf5kiontlm-5.116.0-alt7 sisyphus+360996.200.1.1 1730119248 installed
<13>May 16 03:22:53 rpmi: xset-1.2.4-alt1 sisyphus+275497.100.2.2 1624918317 installed
