<86>May 16 05:19:33 userdel[1179840]: delete user 'rooter'
<86>May 16 05:19:33 userdel[1179840]: removed group 'rooter' owned by 'rooter'
<86>May 16 05:19:33 userdel[1179840]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 05:19:33 groupadd[1179851]: group added to /etc/group: name=rooter, GID=1868
<86>May 16 05:19:33 groupadd[1179851]: group added to /etc/gshadow: name=rooter
<86>May 16 05:19:33 groupadd[1179851]: new group: name=rooter, GID=1868
<86>May 16 05:19:33 useradd[1179864]: new user: name=rooter, UID=1868, GID=1868, home=/root, shell=/bin/bash, from=none
<86>May 16 05:19:33 userdel[1179885]: delete user 'builder'
<86>May 16 05:19:33 userdel[1179885]: removed group 'builder' owned by 'builder'
<86>May 16 05:19:33 userdel[1179885]: removed shadow group 'builder' owned by 'builder'
<86>May 16 05:19:33 groupadd[1179892]: group added to /etc/group: name=builder, GID=1869
<86>May 16 05:19:33 groupadd[1179892]: group added to /etc/gshadow: name=builder
<86>May 16 05:19:33 groupadd[1179892]: new group: name=builder, GID=1869
<86>May 16 05:19:33 useradd[1179902]: new user: name=builder, UID=1869, GID=1869, home=/usr/src, shell=/bin/bash, from=none
/usr/src/in/srpm/kexi-3.2.0-alt7.src.rpm: bad symbols in the license tag: /
<13>May 16 05:19:38 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 05:19:38 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 05:19:38 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 05:19:38 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 05:19:38 rpmi: libts0-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 05:19:38 rpmi: qt5-base-common-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 05:19:38 rpmi: qt5-declarative-common-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 05:19:38 rpmi: libmtdev-1.1.6-alt1 sisyphus+278361.100.1.1 1626091644 installed
<13>May 16 05:19:38 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 05:19:38 rpmi: libevdev-1.13.4-alt1 sisyphus+379223.100.1.1 1742909304 installed
<13>May 16 05:19:38 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 05:19:38 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 05:19:38 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:19:38 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 05:19:38 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 05:19:38 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 05:19:38 rpmi: libhogweed6-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 05:19:38 rpmi: libgnutls30-3.8.9-alt1 sisyphus+380042.200.2.1 1743618110 installed
<13>May 16 05:19:38 rpmi: libngtcp2.16-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 05:19:38 rpmi: libngtcp2_crypto_gnutls8-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 05:19:38 rpmi: rpm-macros-qt5-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 05:19:38 rpmi: rpm-build-xdg-0.2-alt1 1250461503 installed
<13>May 16 05:19:38 rpmi: libsqlite3-3.47.1-alt1 sisyphus+375553.2600.2.1 1740149712 installed
<13>May 16 05:19:38 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
