<86>May 16 02:30:34 userdel[405923]: delete user 'rooter'
<86>May 16 02:30:34 userdel[405923]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:30:34 userdel[405923]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:30:34 groupadd[405965]: group added to /etc/group: name=rooter, GID=1823
<86>May 16 02:30:34 groupadd[405965]: group added to /etc/gshadow: name=rooter
<86>May 16 02:30:34 groupadd[405965]: new group: name=rooter, GID=1823
<86>May 16 02:30:34 useradd[406003]: new user: name=rooter, UID=1823, GID=1823, home=/root, shell=/bin/bash, from=none
<86>May 16 02:30:34 userdel[406058]: delete user 'builder'
<86>May 16 02:30:34 userdel[406058]: removed group 'builder' owned by 'builder'
<86>May 16 02:30:34 userdel[406058]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:30:34 groupadd[406105]: group added to /etc/group: name=builder, GID=1824
<86>May 16 02:30:34 groupadd[406105]: group added to /etc/gshadow: name=builder
<86>May 16 02:30:34 groupadd[406105]: new group: name=builder, GID=1824
<86>May 16 02:30:34 useradd[406137]: new user: name=builder, UID=1824, GID=1824, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 02:30:39 rpmi: rpm-macros-generic-compat-0.05-alt1 sisyphus+332093.100.1.1 1697645292 installed
<13>May 16 02:30:39 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 02:30:39 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 02:30:39 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:30:39 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 02:30:39 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 02:30:39 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 02:30:39 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 02:30:39 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 02:30:39 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
