<86>May 16 02:17:20 userdel[866590]: delete user 'rooter'
<86>May 16 02:17:20 userdel[866590]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:17:20 userdel[866590]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:17:20 groupadd[866654]: group added to /etc/group: name=rooter, GID=1865
<86>May 16 02:17:20 groupadd[866654]: group added to /etc/gshadow: name=rooter
<86>May 16 02:17:20 groupadd[866654]: new group: name=rooter, GID=1865
<86>May 16 02:17:20 useradd[866703]: new user: name=rooter, UID=1865, GID=1865, home=/root, shell=/bin/bash, from=none
<86>May 16 02:17:20 userdel[866762]: delete user 'builder'
<86>May 16 02:17:20 userdel[866762]: removed group 'builder' owned by 'builder'
<86>May 16 02:17:20 userdel[866762]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:17:20 groupadd[866819]: group added to /etc/group: name=builder, GID=1866
<86>May 16 02:17:20 groupadd[866819]: group added to /etc/gshadow: name=builder
<86>May 16 02:17:20 groupadd[866819]: new group: name=builder, GID=1866
<86>May 16 02:17:20 useradd[866882]: new user: name=builder, UID=1866, GID=1866, home=/usr/src, shell=/bin/bash, from=none
warning: Macro %qmake_qt5 not found
warning: Macro %install_qt5_base not found
warning: Macro %_qt5_archdatadir not found
<13>May 16 02:17:25 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 02:17:25 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 02:17:25 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 02:17:25 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 02:17:25 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 02:17:25 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:17:25 rpmi: qt5-base-common-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 02:17:25 rpmi: qt5-declarative-common-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 02:17:26 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 02:17:26 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 02:17:26 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 02:17:26 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 02:17:26 rpmi: libdouble-conversion3-3.3.1-alt1 sisyphus+375894.100.1.1 1740393427 installed
<13>May 16 02:17:26 rpmi: libqt5-core-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 02:17:26 rpmi: zlib-devel-1.3.1-alt1 sisyphus+342532.100.1.1 1710232285 installed
<13>May 16 02:17:26 rpmi: xml-utils-1:2.12.9-alt1 sisyphus+355784.100.1.1 1724333686 installed
<13>May 16 02:17:26 rpmi: libmtdev-1.1.6-alt1 sisyphus+278361.100.1.1 1626091644 installed
<13>May 16 02:17:26 rpmi: libevdev-1.13.4-alt1 sisyphus+379223.100.1.1 1742909304 installed
<13>May 16 02:17:26 rpmi: libts0-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 02:17:26 rpmi: libgraphite2-1.3.14-alt2.1 sisyphus+279571.100.1.2 1626605111 installed
<13>May 16 02:17:26 rpmi: libedit3-3.1.20250104-alt1 sisyphus+384216.200.2.1 1747315147 installed
<13>May 16 02:17:26 rpmi: libXdmcp-1.1.5-alt1 sisyphus+343583.700.1.1 1711441061 installed
<13>May 16 02:17:26 rpmi: libXau-1.0.11-alt1 sisyphus+311428.100.1.1 1670577439 installed
<13>May 16 02:17:26 rpmi: libxcb-1.17.0-alt1 sisyphus+345308.200.1.1 1713342004 installed
<13>May 16 02:17:27 rpmi: libxcb-devel-1.17.0-alt1 sisyphus+345308.200.1.1 1713342004 installed
<13>May 16 02:17:27 rpmi: libxcbutil-1:0.4.1-alt1 sisyphus+312057.100.1.1 1671526887 installed
<13>May 16 02:17:27 rpmi: libxcbutil-keysyms-0.4.0-alt1 sisyphus+278187.100.1.1 1626075966 installed
<13>May 16 02:17:27 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 02:17:27 rpmi: libfmt11-1:11.2.0-alt1 sisyphus+383210.100.1.1 1746341681 installed
<13>May 16 02:17:27 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 02:17:27 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 02:17:27 rpmi: llvm18.1-filesystem-18.1.8-alt0.4 sisyphus+364551.100.1.1 1733763186 installed
<13>May 16 02:17:27 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
