<86>May 16 02:18:04 userdel[1999796]: delete user 'rooter'
<86>May 16 02:18:04 userdel[1999796]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:18:04 userdel[1999796]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:18:04 groupadd[1999809]: group added to /etc/group: name=rooter, GID=1868
<86>May 16 02:18:04 groupadd[1999809]: group added to /etc/gshadow: name=rooter
<86>May 16 02:18:04 groupadd[1999809]: new group: name=rooter, GID=1868
<86>May 16 02:18:04 useradd[1999819]: new user: name=rooter, UID=1868, GID=1868, home=/root, shell=/bin/bash, from=none
<86>May 16 02:18:04 userdel[1999835]: delete user 'builder'
<86>May 16 02:18:04 userdel[1999835]: removed group 'builder' owned by 'builder'
<86>May 16 02:18:04 userdel[1999835]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:18:04 groupadd[1999844]: group added to /etc/group: name=builder, GID=1869
<86>May 16 02:18:04 groupadd[1999844]: group added to /etc/gshadow: name=builder
<86>May 16 02:18:04 groupadd[1999844]: new group: name=builder, GID=1869
<86>May 16 02:18:04 useradd[1999855]: new user: name=builder, UID=1869, GID=1869, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 02:18:10 rpmi: rpm-macros-kde-common-devel-14.12.1-alt1 1422279175 installed
<13>May 16 02:18:10 rpmi: rpm-macros-generic-compat-0.05-alt1 sisyphus+332093.100.1.1 1697645292 installed
<13>May 16 02:18:10 rpmi: rpm-macros-fedora-compat-0.159-alt1 sisyphus+258368.100.1.1 1600512138 installed
<13>May 16 02:18:10 rpmi: rpm-macros-cmake-4.0.0-alt1 sisyphus+380707.100.1.1 1744023402 installed
<13>May 16 02:18:12 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:18:12 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 02:18:12 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 02:18:12 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 02:18:12 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 02:18:12 rpmi: libts0-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 02:18:12 rpmi: libmtdev-1.1.6-alt1 sisyphus+278361.100.1.1 1626091644 installed
<13>May 16 02:18:12 rpmi: libevdev-1.13.4-alt1 sisyphus+379223.100.1.1 1742909304 installed
<13>May 16 02:18:12 rpmi: libdouble-conversion3-3.3.1-alt1 sisyphus+375894.100.1.1 1740393427 installed
<13>May 16 02:18:13 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 02:18:13 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 02:18:13 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 02:18:13 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 02:18:13 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 02:18:13 rpmi: libuv-1.50.0-alt1 sisyphus+377760.100.1.1 1741795923 installed
<13>May 16 02:18:13 rpmi: libjsoncpp24-1.9.4-alt2 sisyphus+346331.200.2.1 1716448551 installed
<13>May 16 02:18:13 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 02:18:13 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 02:18:13 rpmi: icu-utils-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 02:18:13 rpmi: libicu-devel-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
