<86>May 10 09:05:17 userdel[361655]: delete user 'rooter'
<86>May 10 09:05:17 userdel[361655]: removed group 'rooter' owned by 'rooter'
<86>May 10 09:05:17 userdel[361655]: removed shadow group 'rooter' owned by 'rooter'
<86>May 10 09:05:18 groupadd[361674]: group added to /etc/group: name=rooter, GID=1871
<86>May 10 09:05:18 groupadd[361674]: group added to /etc/gshadow: name=rooter
<86>May 10 09:05:18 groupadd[361674]: new group: name=rooter, GID=1871
<86>May 10 09:05:18 useradd[361694]: new user: name=rooter, UID=1871, GID=1871, home=/root, shell=/bin/bash, from=none
<86>May 10 09:05:18 userdel[361711]: delete user 'builder'
<86>May 10 09:05:18 userdel[361711]: removed group 'builder' owned by 'builder'
<86>May 10 09:05:18 userdel[361711]: removed shadow group 'builder' owned by 'builder'
<86>May 10 09:05:18 groupadd[361729]: group added to /etc/group: name=builder, GID=1872
<86>May 10 09:05:18 groupadd[361729]: group added to /etc/gshadow: name=builder
<86>May 10 09:05:18 groupadd[361729]: new group: name=builder, GID=1872
<86>May 10 09:05:18 useradd[361746]: new user: name=builder, UID=1872, GID=1872, home=/usr/src, shell=/bin/bash, from=none
<13>May 10 09:05:22 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432033 installed
<13>May 10 09:05:22 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468406 installed
<13>May 10 09:05:22 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519386 installed
<13>May 10 09:05:22 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 10 09:05:22 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962878 installed
<13>May 10 09:05:22 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622586 installed
<13>May 10 09:05:22 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 10 09:05:22 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 10 09:05:22 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 10 09:05:22 rpmi: ca-certificates-2025.02.10-alt1 sisyphus+374228.100.4.1 1739265441 installed
<13>May 10 09:05:22 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 10 09:05:22 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622586 installed
<13>May 10 09:05:22 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299702 installed
<13>May 10 09:05:22 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299702 installed
<13>May 10 09:05:23 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802963 installed
<13>May 10 09:05:23 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802963 installed
<13>May 10 09:05:23 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 10 09:05:23 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 10 09:05:23 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 10 09:05:23 rpmi: rpm-build-licenses-3.0.0-alt1 sisyphus+241804.100.1.1 1574868053 installed
<13>May 10 09:05:26 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449053 installed
<13>May 10 09:05:26 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781690 installed
<13>May 10 09:05:26 rpmi: xml-utils-1:2.12.9-alt1 sisyphus+355784.100.1.1 1724333695 installed
<13>May 10 09:05:26 rpmi: libboost_system1.86.0-1:1.86.0-alt2 sisyphus+375553.1040.4.1 1740170900 installed
<13>May 10 09:05:26 rpmi: python3-module-more-itertools-10.6.0-alt1 sisyphus+369595.100.2.1 1737017267 installed
<13>May 10 09:05:26 rpmi: libquadmath0-14.2.1-alt1 sisyphus+360995.100.1.1 1730131612 installed
<13>May 10 09:05:26 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131612 installed
<13>May 10 09:05:26 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745386702 installed
<13>May 10 09:05:26 rpmi: python3-module-jaraco.functools-4.1.0-alt1.1 sisyphus+376369.24200.10.1 1746632566 installed
<13>May 10 09:05:26 rpmi: libopenblas-0.3.29-alt2 sisyphus+373279.100.1.1 1738760153 installed
<13>May 10 09:05:26 rpmi: libatk-2.56.2-alt1 sisyphus+382828.100.1.1 1745927620 installed
<13>May 10 09:05:26 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424894 installed
<13>May 10 09:05:26 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745384016 installed
<13>May 10 09:05:26 rpmi: libltdl7-2.4.7-alt5 sisyphus+341963.200.3.1 1711659248 installed
<13>May 10 09:05:26 rpmi: libpaper2-2:2.1.3-alt1 sisyphus+340967.100.1.1 1708276734 installed
<13>May 10 09:05:26 rpmi: libopenjpeg2.0-2.5.3-alt1 sisyphus+376290.11300.24.2 1745385930 installed
<13>May 10 09:05:26 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577559 installed
<13>May 10 09:05:26 rpmi: libfribidi-1.0.16-alt1 sisyphus+358393.100.1.1 1727333693 installed
<13>May 10 09:05:26 rpmi: libbrotlicommon-1.1.0-alt1 sisyphus+328501.100.1.1 1693598420 installed
<13>May 10 09:05:26 rpmi: libbrotlidec-1.1.0-alt1 sisyphus+328501.100.1.1 1693598420 installed
<13>May 10 09:05:26 rpmi: libdeflate-1.23-alt1 sisyphus+366443.100.2.1 1735140378 installed
<13>May 10 09:05:26 rpmi: libtiff6-4.7.0-alt1 sisyphus+376290.174.24.2 1745358946 installed
<13>May 10 09:05:26 rpmi: libopenexrcore32-3.3.1-alt1 sisyphus+376389.140.5.2 1740870061 installed
<13>May 10 09:05:26 rpmi: libbrotlienc-1.1.0-alt1 sisyphus+328501.100.1.1 1693598420 installed
<13>May 10 09:05:26 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526918 installed
<13>May 10 09:05:26 rpmi: paper-2:2.1.3-alt1 sisyphus+340967.100.1.1 1708276734 installed
<13>May 10 09:05:26 rpmi: libraw-0.21.4-alt1 sisyphus+381532.100.1.1 1744570706 installed
<13>May 10 09:05:26 rpmi: libOpenGL-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424894 installed
<13>May 10 09:05:26 rpmi: libquadmath14-devel-14.2.1-alt1 sisyphus+360995.100.1.1 1730131612 installed
<13>May 10 09:05:26 rpmi: libquadmath-devel-14-alt1 sisyphus+360995.300.1.1 1730139881 installed
<13>May 10 09:05:26 rpmi: libboost_charconv1.86.0-1:1.86.0-alt2 sisyphus+375553.1040.4.1 1740170900 installed
<13>May 10 09:05:26 rpmi: libgfortran5-14.2.1-alt1 sisyphus+360995.100.1.1 1730131612 installed
<13>May 10 09:05:26 rpmi: libboost_atomic1.86.0-1:1.86.0-alt2 sisyphus+375553.1040.4.1 1740170900 installed
