<86>May 16 04:28:12 userdel[552317]: delete user 'rooter'
<86>May 16 04:28:12 userdel[552317]: removed group 'rooter' owned by 'rooter'
<86>May 16 04:28:12 groupadd[552364]: group added to /etc/group: name=rooter, GID=1856
<86>May 16 04:28:12 groupadd[552364]: group added to /etc/gshadow: name=rooter
<86>May 16 04:28:12 groupadd[552364]: new group: name=rooter, GID=1856
<86>May 16 04:28:12 useradd[552394]: new user: name=rooter, UID=1856, GID=1856, home=/root, shell=/bin/bash, from=none
<86>May 16 04:28:13 userdel[552447]: delete user 'builder'
<86>May 16 04:28:13 userdel[552447]: removed group 'builder' owned by 'builder'
<86>May 16 04:28:13 userdel[552447]: removed shadow group 'builder' owned by 'builder'
<86>May 16 04:28:13 groupadd[552491]: group added to /etc/group: name=builder, GID=1857
<86>May 16 04:28:13 groupadd[552491]: group added to /etc/gshadow: name=builder
<86>May 16 04:28:13 groupadd[552491]: new group: name=builder, GID=1857
<86>May 16 04:28:13 useradd[552532]: new user: name=builder, UID=1857, GID=1857, home=/usr/src, shell=/bin/bash, from=none
/usr/src/in/srpm/libretro-computers-20250130-alt1.src.rpm: license not found in '/usr/share/license' directory: GPL2
<13>May 16 04:28:30 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 04:28:30 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 04:28:30 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 04:28:30 rpmi: libogg-devel-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 04:28:31 rpmi: libopus-1.5.2-alt1.1 sisyphus+366209.100.1.1 1734786371 installed
<13>May 16 04:28:31 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 04:28:31 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 04:28:31 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 04:28:31 rpmi: libopus-devel-1.5.2-alt1.1 sisyphus+366209.100.1.1 1734786371 installed
<13>May 16 04:28:31 rpmi: libopusfile0-0.12.0.39.0a4c-alt1 sisyphus+326046.1400.1.1 1690673329 installed
<13>May 16 04:28:31 rpmi: libflac14-1.5.0-alt1 sisyphus+374510.100.1.1 1739435174 installed
<13>May 16 04:28:31 rpmi: libvorbis-1.3.7-alt1 sisyphus+275738.100.1.1 1624751601 installed
<13>May 16 04:28:31 rpmi: libmpg123-1:1.32.10-alt1 sisyphus+365072.100.1.1 1734226035 installed
<13>May 16 04:28:31 rpmi: liblame-3.100-alt1 sisyphus+346342.200.2.2 1716474674 installed
<13>May 16 04:28:31 rpmi: libgsm-1.0.22-alt1 sisyphus+381615.100.1.1 1744646649 installed
<13>May 16 04:28:31 rpmi: libsndfile-1.2.2-alt1 sisyphus+380661.100.1.1 1744001678 installed
<13>May 16 04:28:31 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 04:28:31 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 04:28:31 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 04:28:31 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 04:28:31 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 04:28:31 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 04:28:31 rpmi: gcc-c++-common-1.4.28-alt1 sisyphus+348678.100.1.1 1716396142 installed
<13>May 16 04:28:31 rpmi: libstdc++14-devel-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 04:28:32 rpmi: gcc14-c++-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 04:28:32 rpmi: gcc-c++-14-alt1 sisyphus+360995.300.1.1 1730139222 installed
<13>May 16 04:28:33 rpmi: libstdc++13-devel-13.2.1-alt5 sisyphus+360995.200.1.1 1730138880 installed
<13>May 16 04:28:33 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 04:28:33 rpmi: libpcap0.8-2:1.10.5-alt1 sisyphus+373333.200.2.1 1738835147 installed
<13>May 16 04:28:33 rpmi: libgsm-devel-1.0.22-alt1 sisyphus+381615.100.1.1 1744646649 installed
<13>May 16 04:28:33 rpmi: liblame-devel-3.100-alt1 sisyphus+346342.200.2.2 1716474674 installed
<13>May 16 04:28:33 rpmi: libmpg123-devel-1:1.32.10-alt1 sisyphus+365072.100.1.1 1734226035 installed
<13>May 16 04:28:33 rpmi: libvorbis-devel-1.3.7-alt1 sisyphus+275738.100.1.1 1624751601 installed
<13>May 16 04:28:33 rpmi: libflac-devel-1.5.0-alt1 sisyphus+374510.100.1.1 1739435174 installed
<13>May 16 04:28:33 rpmi: libopusfile-devel-0.12.0.39.0a4c-alt1 sisyphus+326046.1400.1.1 1690673329 installed
<13>May 16 04:28:33 rpmi: libhogweed6-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 04:28:33 rpmi: libgnutls30-3.8.9-alt1 sisyphus+380042.200.2.1 1743618110 installed
<13>May 16 04:28:33 rpmi: libngtcp2.16-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 04:28:33 rpmi: libngtcp2_crypto_gnutls8-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 04:28:33 rpmi: libGLES-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 04:28:33 rpmi: libOpenGL-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 04:28:33 rpmi: xxd-4:9.1.1264-alt1 sisyphus+379906.100.1.1 1743513158 installed
<13>May 16 04:28:33 rpmi: rpm-macros-meson-1.8.0-alt1 sisyphus+383173.100.1.1 1746257195 installed
