<86>May 16 03:19:11 userdel[3160213]: delete user 'rooter'
<86>May 16 03:19:11 userdel[3160213]: removed group 'rooter' owned by 'rooter'
<86>May 16 03:19:11 userdel[3160213]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 03:19:11 groupadd[3160234]: group added to /etc/group: name=rooter, GID=1829
<86>May 16 03:19:11 groupadd[3160234]: group added to /etc/gshadow: name=rooter
<86>May 16 03:19:11 groupadd[3160234]: new group: name=rooter, GID=1829
<86>May 16 03:19:11 useradd[3160252]: new user: name=rooter, UID=1829, GID=1829, home=/root, shell=/bin/bash, from=none
<86>May 16 03:19:11 userdel[3160270]: delete user 'builder'
<86>May 16 03:19:11 userdel[3160270]: removed group 'builder' owned by 'builder'
<86>May 16 03:19:11 userdel[3160270]: removed shadow group 'builder' owned by 'builder'
<86>May 16 03:19:11 groupadd[3160296]: group added to /etc/group: name=builder, GID=1830
<86>May 16 03:19:11 groupadd[3160296]: group added to /etc/gshadow: name=builder
<86>May 16 03:19:11 groupadd[3160296]: new group: name=builder, GID=1830
<86>May 16 03:19:11 useradd[3160313]: new user: name=builder, UID=1830, GID=1830, home=/usr/src, shell=/bin/bash, from=none
warning: Macro %pom_remove_plugin not found
warning: Macro %pom_remove_plugin not found
warning: Macro %pom_remove_plugin not found
warning: Macro %pom_remove_dep not found
warning: Macro %mvn_build not found
warning: Macro %mvn_install not found
<13>May 16 03:19:17 rpmi: javapackages-filesystem-1:6.0.0-alt3 sisyphus+378353.100.1.1 1742277151 installed
<13>May 16 03:19:17 rpmi: plexus-utils-0:3.3.0-alt1_7jpp11 sisyphus+283216.100.1.3 1629255397 installed
<13>May 16 03:19:17 rpmi: plexus-containers-component-annotations-0:2.1.1-alt1_2jpp11 sisyphus+318726.100.1.3 1681809130 installed
<13>May 16 03:19:17 rpmi: apache-commons-io-1:2.11.0-alt1_2jpp11 sisyphus+318723.100.1.1 1681807648 installed
<13>May 16 03:19:17 rpmi: maven-shared-utils-3.3.4-alt1_2jpp11 sisyphus+302881.100.1.1 1656671461 installed
<13>May 16 03:19:17 rpmi: slf4j-0:1.7.36-alt1 sisyphus+382913.300.3.1 1746015802 installed
<13>May 16 03:19:17 rpmi: apache-commons-lang3-3.17.0-alt1 sisyphus+382425.100.5.2 1747315776 installed
<13>May 16 03:19:17 rpmi: atinject-0:1.0.5-alt1_3jpp11 sisyphus+303043.100.1.1 1656765531 installed
<13>May 16 03:19:17 rpmi: plexus-interpolation-0:1.26-alt1_12jpp11 sisyphus+317222.100.1.2 1679506704 installed
<13>May 16 03:19:17 rpmi: javapackages-tools-1:6.0.0-alt3 sisyphus+378353.100.1.1 1742277151 installed
<13>May 16 03:19:17 rpmi: objectweb-asm-0:9.3-alt1_2jpp11 sisyphus+317150.100.1.2 1679414664 installed
<13>May 16 03:19:17 rpmi: apache-commons-compress-0:1.21-alt1_1jpp11 sisyphus+282760.100.1.3 1629016378 installed
<13>May 16 03:19:17 rpmi: plexus-classworlds-0:2.6.0-alt1_12jpp11 sisyphus+317221.100.1.2 1679504163 installed
<13>May 16 03:19:17 rpmi: qdox-1:2.0.0-alt1_9jpp11 sisyphus+383527.200.1.1 1746616019 installed
<13>May 16 03:19:17 rpmi: plexus-cipher-2.0-alt1_2jpp11 sisyphus+318725.100.1.2 1681808079 installed
<13>May 16 03:19:17 rpmi: cdi-api-2.0.2-alt1_3jpp11 sisyphus+300684.100.1.1 1653577326 installed
<13>May 16 03:19:17 rpmi: sisu-2:0.3.5-alt1_2jpp11 sisyphus+318727.100.1.3 1681808440 installed
<13>May 16 03:19:17 rpmi: jcl-over-slf4j-0:1.7.36-alt1 sisyphus+382913.300.3.1 1746015802 installed
<13>May 16 03:19:17 rpmi: apache-commons-codec-0:1.15-alt1_4jpp11 sisyphus+283206.100.1.2 1629250805 installed
<13>May 16 03:19:17 rpmi: httpcomponents-core-4.4.13-alt1_4jpp11 sisyphus+283282.100.1.3 1629308546 installed
<13>May 16 03:19:17 rpmi: plexus-sec-dispatcher-2.0-alt1 sisyphus+382157.100.1.1 1745096363 installed
<13>May 16 03:19:17 rpmi: plexus-languages-1.1.1-alt1_2jpp11 sisyphus+317156.100.1.3 1679417212 installed
<13>May 16 03:19:17 rpmi: byte-buddy-1.12.0-alt1_3jpp11 sisyphus+303411.100.1.1 1657454125 installed
<13>May 16 03:19:17 rpmi: plexus-build-api-0:0.0.7-alt3_36jpp11 sisyphus+303029.100.1.3 1656759159 installed
<13>May 16 03:19:17 rpmi: apache-commons-cli-0:1.5.0-alt1_3jpp11 sisyphus+303041.100.1.3 1656766127 installed
<13>May 16 03:19:17 rpmi: jansi-0:2.4.0-alt1_7jpp11 sisyphus+317216.100.1.3 1679501794 installed
<13>May 16 03:19:17 rpmi: jakarta-annotations-1.3.5-alt1_11jpp11 sisyphus+300688.100.1.1 1653578883 installed
<13>May 16 03:19:17 rpmi: xmvn-core-4.0.0-alt1_8jpp11 sisyphus+303446.100.1.1 1657533450 installed
<13>May 16 03:19:17 rpmi: hawtjni-runtime-0:1.18-alt1_2jpp11 sisyphus+282792.100.1.1 1629029179 installed
<13>May 16 03:19:17 rpmi: opentest4j-1.2.0-alt1_10jpp11 sisyphus+303026.100.1.2 1656757807 installed
<13>May 16 03:19:17 rpmi: maven-plugin-annotations-3.6.4-alt1 sisyphus+383557.200.1.1 1746628968 installed
<13>May 16 03:19:17 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 03:19:17 rpmi: jansi-native-0:1.8-alt1_12jpp11 sisyphus+317217.100.1.2 1679502324 installed
<13>May 16 03:19:17 rpmi: jansi1-1.18-alt1_11jpp11 sisyphus+302998.100.1.2 1656749981 installed
<13>May 16 03:19:17 rpmi: jline2-0:2.14.6-alt1_2jpp11 sisyphus+273662.100.1.1 1622879727 installed
<13>May 16 03:19:17 rpmi: assertj-core-3.19.0-alt1_3jpp11 sisyphus+301632.100.1.1 1654767506 installed
<13>May 16 03:19:17 rpmi: java-common-1.7.0-alt1 sisyphus+333533.100.1.1 1699037019 installed
<13>May 16 03:19:17 rpmi: plexus-resources-0:1.2.0-alt1_2jpp11 sisyphus+317157.100.1.2 1679417543 installed
<13>May 16 03:19:17 rpmi: xbean-0:4.18-alt1_7jpp11 sisyphus+303040.100.1.2 1656761668 installed
<13>May 16 03:19:17 rpmi: plexus-io-0:3.2.0-alt1_9jpp11 sisyphus+303270.100.1.1 1657178206 installed
<13>May 16 03:19:17 rpmi: plexus-compiler-0:2.11.1-alt1_2jpp11 sisyphus+317154.100.1.3 1679416547 installed
<13>May 16 03:19:17 rpmi: apache-commons-collections-0:3.2.2-alt1_27jpp11 sisyphus+302979.100.1.3 1656746095 installed
<13>May 16 03:19:17 rpmi: velocity-1:1.7-alt3_36jpp11 sisyphus+282835.200.1.1 1629039655 installed
<13>May 16 03:19:17 rpmi: apache-commons-logging-0:1.2-alt1_30jpp11 sisyphus+302982.100.1.1 1656745489 installed
<13>May 16 03:19:17 rpmi: bsf-1:2.4.0-alt3_46jpp11 sisyphus+317135.100.1.1 1679405986 installed
<13>May 16 03:19:17 rpmi: bsh-0:2.1.0-alt1_5jpp11 sisyphus+302988.100.1.3 1656748952 installed
<13>May 16 03:19:17 rpmi: apache-resource-bundles-1:36-alt1_2jpp11 sisyphus+317095.100.1.2 1679396315 installed
<13>May 16 03:19:17 rpmi: jsr-305-1:3.0.2-alt1_3jpp11 sisyphus+283271.100.1.2 1629305577 installed
<13>May 16 03:19:18 rpmi: guava-31.0.1-alt2_3jpp11 sisyphus+384217.100.1.1 1747314227 installed
<13>May 16 03:19:18 rpmi: google-guice-0:4.2.3-alt1_6jpp11 sisyphus+300883.100.1.1 1653894654 installed
<13>May 16 03:19:18 rpmi: jsoup-1.13.1-alt1_7jpp11 sisyphus+283208.100.1.3 1629252685 installed
<13>May 16 03:19:18 rpmi: beust-jcommander-1.78-alt1_7jpp11 sisyphus+281813.100.1.1 1628094307 installed
<13>May 16 03:19:18 rpmi: xmvn-tools-4.0.0-alt1_8jpp11 sisyphus+303446.100.1.1 1657533450 installed
<13>May 16 03:19:18 rpmi: hamcrest-0:2.2-alt1_5jpp11 sisyphus+301728.200.1.1 1654860789 installed
<13>May 16 03:19:18 rpmi: junit-1:4.13.1-alt1_7jpp11 sisyphus+303013.100.1.2 1656753167 installed
<13>May 16 03:19:18 rpmi: plexus-containers-container-default-0:2.1.1-alt1_2jpp11 sisyphus+318726.100.1.3 1681809130 installed
<13>May 16 03:19:18 rpmi: xz-java-1.9-alt1_3jpp11 sisyphus+303072.100.1.2 1656772105 installed
<13>May 16 03:19:18 rpmi: plexus-archiver-0:4.2.7-alt1_2jpp11 sisyphus+317153.100.1.3 1679416196 installed
<13>May 16 03:19:18 rpmi: apiguardian-1.1.2-alt1_3jpp11 sisyphus+303042.100.1.1 1656765526 installed
<13>May 16 03:19:18 rpmi: byte-buddy-agent-1.12.0-alt1_3jpp11 sisyphus+303411.100.1.1 1657454125 installed
<13>May 16 03:19:18 rpmi: jdom2-2.0.6-alt1_27jpp11 sisyphus+303003.100.1.1 1656746846 installed
<13>May 16 03:19:18 rpmi: univocity-parsers-2.9.1-alt1_6jpp11 sisyphus+303035.100.1.2 1656759759 installed
<13>May 16 03:19:18 rpmi: junit5-5.8.2-alt1 sisyphus+383557.100.1.1 1746628905 installed
