<86>May 16 03:10:43 userdel[136973]: delete user 'rooter'
<86>May 16 03:10:43 userdel[136973]: removed group 'rooter' owned by 'rooter'
<86>May 16 03:10:43 userdel[136973]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 03:10:43 groupadd[136980]: group added to /etc/group: name=rooter, GID=1286
<86>May 16 03:10:43 groupadd[136980]: group added to /etc/gshadow: name=rooter
<86>May 16 03:10:43 groupadd[136980]: new group: name=rooter, GID=1286
<86>May 16 03:10:43 useradd[136986]: new user: name=rooter, UID=1286, GID=1286, home=/root, shell=/bin/bash, from=none
<86>May 16 03:10:43 userdel[136996]: delete user 'builder'
<86>May 16 03:10:43 userdel[136996]: removed group 'builder' owned by 'builder'
<86>May 16 03:10:43 userdel[136996]: removed shadow group 'builder' owned by 'builder'
<86>May 16 03:10:43 groupadd[137003]: group added to /etc/group: name=builder, GID=1287
<86>May 16 03:10:43 groupadd[137003]: group added to /etc/gshadow: name=builder
<86>May 16 03:10:43 groupadd[137003]: new group: name=builder, GID=1287
<86>May 16 03:10:43 useradd[137009]: new user: name=builder, UID=1287, GID=1287, home=/usr/src, shell=/bin/bash, from=none
/usr/src/in/srpm/maven-common-artifact-filters-3.2.0-alt1_3jpp11.src.rpm: license not found in '/usr/share/license' directory: ASL
/usr/src/in/srpm/maven-common-artifact-filters-3.2.0-alt1_3jpp11.src.rpm: license not found in '/usr/share/license' directory: 2.0
warning: Macro %pom_remove_dep not found
warning: Macro %pom_remove_dep not found
warning: Macro %mvn_build not found
warning: Macro %mvn_install not found
<13>May 16 03:11:10 rpmi: javapackages-filesystem-1:6.0.0-alt3 sisyphus+378353.100.1.1 1742277151 installed
<13>May 16 03:11:10 rpmi: plexus-utils-0:3.3.0-alt1_7jpp11 sisyphus+283216.100.1.3 1629255397 installed
<13>May 16 03:11:10 rpmi: apache-commons-io-1:2.11.0-alt1_2jpp11 sisyphus+318723.100.1.1 1681807648 installed
<13>May 16 03:11:10 rpmi: maven-shared-utils-3.3.4-alt1_2jpp11 sisyphus+302881.100.1.1 1656671461 installed
<13>May 16 03:11:10 rpmi: plexus-containers-component-annotations-0:2.1.1-alt1_2jpp11 sisyphus+318726.100.1.3 1681809130 installed
<13>May 16 03:11:10 rpmi: slf4j-0:1.7.36-alt1 sisyphus+382913.300.3.1 1746015802 installed
<13>May 16 03:11:10 rpmi: apache-commons-lang3-3.17.0-alt1 sisyphus+382425.100.5.2 1747315776 installed
<13>May 16 03:11:10 rpmi: atinject-0:1.0.5-alt1_3jpp11 sisyphus+303043.100.1.1 1656765531 installed
<13>May 16 03:11:10 rpmi: plexus-interpolation-0:1.26-alt1_12jpp11 sisyphus+317222.100.1.2 1679506704 installed
<13>May 16 03:11:10 rpmi: javapackages-tools-1:6.0.0-alt3 sisyphus+378353.100.1.1 1742277151 installed
<13>May 16 03:11:10 rpmi: objectweb-asm-0:9.3-alt1_2jpp11 sisyphus+317150.100.1.2 1679414664 installed
<13>May 16 03:11:10 rpmi: apache-commons-compress-0:1.21-alt1_1jpp11 sisyphus+282760.100.1.3 1629016378 installed
<13>May 16 03:11:10 rpmi: plexus-classworlds-0:2.6.0-alt1_12jpp11 sisyphus+317221.100.1.2 1679504163 installed
<13>May 16 03:11:10 rpmi: plexus-cipher-2.0-alt1_2jpp11 sisyphus+318725.100.1.2 1681808079 installed
<13>May 16 03:11:10 rpmi: cdi-api-2.0.2-alt1_3jpp11 sisyphus+300684.100.1.1 1653577326 installed
<13>May 16 03:11:10 rpmi: sisu-2:0.3.5-alt1_2jpp11 sisyphus+318727.100.1.3 1681808440 installed
<13>May 16 03:11:10 rpmi: jcl-over-slf4j-0:1.7.36-alt1 sisyphus+382913.300.3.1 1746015802 installed
<13>May 16 03:11:10 rpmi: apache-commons-codec-0:1.15-alt1_4jpp11 sisyphus+283206.100.1.2 1629250805 installed
<13>May 16 03:11:10 rpmi: httpcomponents-core-4.4.13-alt1_4jpp11 sisyphus+283282.100.1.3 1629308546 installed
<13>May 16 03:11:10 rpmi: qdox-1:2.0.0-alt1_9jpp11 sisyphus+383527.200.1.1 1746616019 installed
<13>May 16 03:11:10 rpmi: plexus-languages-1.1.1-alt1_2jpp11 sisyphus+317156.100.1.3 1679417212 installed
<13>May 16 03:11:10 rpmi: plexus-sec-dispatcher-2.0-alt1 sisyphus+382157.100.1.1 1745096363 installed
<13>May 16 03:11:10 rpmi: byte-buddy-1.12.0-alt1_3jpp11 sisyphus+303411.100.1.1 1657454125 installed
<13>May 16 03:11:10 rpmi: plexus-build-api-0:0.0.7-alt3_36jpp11 sisyphus+303029.100.1.3 1656759159 installed
<13>May 16 03:11:10 rpmi: apache-commons-cli-0:1.5.0-alt1_3jpp11 sisyphus+303041.100.1.3 1656766127 installed
<13>May 16 03:11:10 rpmi: jansi-0:2.4.0-alt1_7jpp11 sisyphus+317216.100.1.3 1679501794 installed
<13>May 16 03:11:10 rpmi: jakarta-annotations-1.3.5-alt1_11jpp11 sisyphus+300688.100.1.1 1653578883 installed
<13>May 16 03:11:10 rpmi: xmvn-core-4.0.0-alt1_8jpp11 sisyphus+303446.100.1.1 1657533450 installed
<13>May 16 03:11:10 rpmi: hawtjni-runtime-0:1.18-alt1_2jpp11 sisyphus+282792.100.1.1 1629029179 installed
<13>May 16 03:11:11 rpmi: opentest4j-1.2.0-alt1_10jpp11 sisyphus+303026.100.1.2 1656757807 installed
<13>May 16 03:11:11 rpmi: maven-plugin-annotations-3.6.4-alt1 sisyphus+383557.200.1.1 1746628968 installed
<13>May 16 03:11:11 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
