<86>May 16 05:15:47 userdel[4075061]: delete user 'rooter'
<86>May 16 05:15:47 userdel[4075061]: removed group 'rooter' owned by 'rooter'
<86>May 16 05:15:47 userdel[4075061]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 05:15:47 groupadd[4075122]: group added to /etc/group: name=rooter, GID=1856
<86>May 16 05:15:47 groupadd[4075122]: group added to /etc/gshadow: name=rooter
<86>May 16 05:15:47 groupadd[4075122]: new group: name=rooter, GID=1856
<86>May 16 05:15:47 useradd[4075182]: new user: name=rooter, UID=1856, GID=1856, home=/root, shell=/bin/bash, from=none
<86>May 16 05:15:47 userdel[4075258]: delete user 'builder'
<86>May 16 05:15:47 userdel[4075258]: removed group 'builder' owned by 'builder'
<86>May 16 05:15:47 userdel[4075258]: removed shadow group 'builder' owned by 'builder'
<86>May 16 05:15:47 groupadd[4075336]: group added to /etc/group: name=builder, GID=1857
<86>May 16 05:15:47 groupadd[4075336]: group added to /etc/gshadow: name=builder
<86>May 16 05:15:47 groupadd[4075336]: new group: name=builder, GID=1857
<86>May 16 05:15:47 useradd[4075379]: new user: name=builder, UID=1857, GID=1857, home=/usr/src, shell=/bin/bash, from=none
warning: Macro %cmake not found
warning: Macro %cmake_build not found
warning: Macro %cmakeinstall_std not found
<13>May 16 05:16:01 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 05:16:01 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 05:16:01 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 05:16:01 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:16:01 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 05:16:01 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 05:16:01 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 05:16:01 rpmi: qt6-base-common-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 05:16:01 rpmi: qt6-declarative-common-6.8.2-alt1 sisyphus+377511.100.1.2 1741614717 installed
<13>May 16 05:16:01 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 05:16:01 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 05:16:01 rpmi: libvorbis-1.3.7-alt1 sisyphus+275738.100.1.1 1624751601 installed
<13>May 16 05:16:01 rpmi: libraw1394-11-2.1.2-alt1 sisyphus+278262.100.1.1 1626081867 installed
<13>May 16 05:16:01 rpmi: libgudev-1:238-alt1 sisyphus+324364.100.1.1 1688646144 installed
<13>May 16 05:16:01 rpmi: libopus-1.5.2-alt1.1 sisyphus+366209.100.1.1 1734786371 installed
<13>May 16 05:16:01 rpmi: libboost_system1.86.0-1:1.86.0-alt2 sisyphus+375553.1040.4.1 1740170417 installed
<13>May 16 05:16:01 rpmi: libsuitesparseconfig7-7.10.1-alt1 sisyphus+377064.100.1.2 1741261972 installed
<13>May 16 05:16:01 rpmi: vapi-common-0.56.18-alt1 sisyphus+376659.100.1.1 1740964125 installed
<13>May 16 05:16:01 rpmi: libfmt11-1:11.2.0-alt1 sisyphus+383210.100.1.1 1746341681 installed
<13>May 16 05:16:01 rpmi: libsqlite3-3.47.1-alt1 sisyphus+375553.2600.2.1 1740149712 installed
<13>May 16 05:16:01 rpmi: libgtest-1.17.0-alt1 sisyphus+382966.100.1.1 1746085270 installed
<13>May 16 05:16:01 rpmi: libabseil-cpp2501.0.0-20250127.1-alt1 sisyphus+382966.200.2.1 1746085838 installed
<13>May 16 05:16:01 rpmi: libusb-1.0.27-alt1 sisyphus+347412.100.1.1 1714739651 installed
<13>May 16 05:16:01 rpmi: liborc-0.4.41-alt1 sisyphus+375168.100.1.1 1739869638 installed
<13>May 16 05:16:01 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 05:16:01 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 05:16:01 rpmi: libOpenGL-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 05:16:01 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 05:16:01 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 05:16:01 rpmi: libspdlog1.13-1.13.0-alt3 sisyphus+369557.100.1.1 1736888044 installed
<13>May 16 05:16:01 rpmi: libtheora-2:1.1.1-alt6 sisyphus+277967.100.1.1 1625928129 installed
<13>May 16 05:16:01 rpmi: qt6-tools-common-6.8.2-alt2 sisyphus+377512.100.1.1 1741606507 installed
<13>May 16 05:16:01 rpmi: libwayland-egl-4:18.1.0-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:16:02 rpmi: libopenblas-0.3.29-alt2 sisyphus+373279.100.1.1 1738760159 installed
<13>May 16 05:16:02 rpmi: perl-HTTP-Date-6.06-alt1 sisyphus+324527.100.1.1 1688834564 installed
<13>May 16 05:16:02 rpmi: perl-XML-NamespaceSupport-1.12-alt1 1491296348 installed
<13>May 16 05:16:02 rpmi: libSDL2-2.32.6-alt1 sisyphus+383337.100.1.1 1746466019 installed
<13>May 16 05:16:02 rpmi: libdvdread8-6.1.3-alt1 sisyphus+302642.100.1.1 1656163148 installed
<13>May 16 05:16:02 rpmi: libtalloc-1:2.4.2-alt1 sisyphus+342425.200.8.1 1714749074 installed
<13>May 16 05:16:02 rpmi: libtdb-1.4.10-alt1 sisyphus+342425.100.8.1 1714748986 installed
<13>May 16 05:16:02 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 05:16:02 rpmi: libserd-0.32.4-alt1 sisyphus+370586.200.1.1 1737371865 installed
<13>May 16 05:16:02 rpmi: libvpl2-2.15.0-alt1 sisyphus+382522.100.1.1 1745498256 installed
<13>May 16 05:16:03 rpmi: libspirv-tools0-1:2025.2-alt0.1.rc2 sisyphus+383827.500.1.1 1746996673 installed
<13>May 16 05:16:03 rpmi: libspeex-1.2.1-alt1 sisyphus+339763.100.1.1 1707113839 installed
<13>May 16 05:16:03 rpmi: libfribidi-1.0.16-alt1 sisyphus+358393.100.1.1 1727333692 installed
<13>May 16 05:16:03 rpmi: libopenjpeg2.0-2.5.3-alt1 sisyphus+376290.11300.24.2 1745386888 installed
<13>May 16 05:16:03 rpmi: liblame-3.100-alt1 sisyphus+346342.200.2.2 1716474674 installed
<13>May 16 05:16:03 rpmi: libgsm-1.0.22-alt1 sisyphus+381615.100.1.1 1744646649 installed
<13>May 16 05:16:03 rpmi: liblmdb-0.9.33-alt1 sisyphus+360625.100.1.1 1729819640 installed
<13>May 16 05:16:03 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 05:16:03 rpmi: libquadmath0-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 05:16:03 rpmi: xml-utils-1:2.12.9-alt1 sisyphus+355784.100.1.1 1724333686 installed
<13>May 16 05:16:03 rpmi: rpm-build-gir-0.7.3-alt3.1 sisyphus+319393.100.1.1 1682538783 installed
<13>May 16 05:16:03 rpmi: libgfortran5-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 05:16:03 rpmi: libtevent-0.16.1-alt1 sisyphus+342425.400.8.1 1714749143 installed
<13>May 16 05:16:03 rpmi: libwebrtc-audio-processing-2-2.1-alt1 sisyphus+375977.100.1.1 1740466841 installed
<13>May 16 05:16:03 rpmi: libre2_11-20240702-alt2 sisyphus+375199.200.3.3 1739920406 installed
<13>May 16 05:16:03 rpmi: libgmock-1.17.0-alt1 sisyphus+382966.100.1.1 1746085270 installed
<13>May 16 05:16:03 rpmi: libgtest-devel-1.17.0-alt1 sisyphus+382966.100.1.1 1746085270 installed
<13>May 16 05:16:03 rpmi: libgmock-devel-1.17.0-alt1 sisyphus+382966.100.1.1 1746085270 installed
<13>May 16 05:16:03 rpmi: libboost_thread1.86.0-1:1.86.0-alt2 sisyphus+375553.1040.4.1 1740170417 installed
<13>May 16 05:16:03 rpmi: libiec61883-1.2.0-alt1.qa1 sisyphus+275365.100.1.2 1624491850 installed
<13>May 16 05:16:03 rpmi: libflac14-1.5.0-alt1 sisyphus+374510.100.1.1 1739435174 installed
<13>May 16 05:16:03 rpmi: libavahi-0.8-alt5 sisyphus+370646.100.1.1 1737385841 installed
<13>May 16 05:16:03 rpmi: libwayland-cursor-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:16:03 rpmi: libyuv-0.0.1874-alt1 sisyphus+326054.40.2.1 1690679392 installed
<13>May 16 05:16:03 rpmi: libv4l-1.30.1-alt1 sisyphus+383276.100.1.1 1746438471 installed
<13>May 16 05:16:03 rpmi: libts0-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 05:16:03 rpmi: libolm-3.2.16-alt1 sisyphus+340010.100.1.1 1707335970 installed
<13>May 16 05:16:03 rpmi: libmtdev-1.1.6-alt1 sisyphus+278361.100.1.1 1626091644 installed
<13>May 16 05:16:03 rpmi: libevdev-1.13.4-alt1 sisyphus+379223.100.1.1 1742909304 installed
<13>May 16 05:16:03 rpmi: libdouble-conversion3-3.3.1-alt1 sisyphus+375894.100.1.1 1740393427 installed
<13>May 16 05:16:03 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 05:16:03 rpmi: libpcre3-8.45-alt2 sisyphus+369650.4200.9.1 1736953780 installed
<13>May 16 05:16:03 rpmi: vulkan-headers-1.4.313-alt1 sisyphus+383827.100.1.1 1746996478 installed
<13>May 16 05:16:03 rpmi: libgflags-2.2.2-alt3 sisyphus+319790.100.1.1 1683117277 installed
<13>May 16 05:16:03 rpmi: libdv-1.0.0-alt6 sisyphus+286805.100.2.1 1633968015 installed
<13>May 16 05:16:03 rpmi: perl-LWP-MediaTypes-6.04-alt1 sisyphus+225468.100.1.1 1553186684 installed
<13>May 16 05:16:03 rpmi: perl-Compress-Raw-Zlib-2.213-alt1 sisyphus+381778.100.1.1 1744806505 installed
<13>May 16 05:16:03 rpmi: perl-libnet-1:3.15-alt1 sisyphus+317310.100.1.1 1679580208 installed
<13>May 16 05:16:03 rpmi: perl-XML-SAX-Base-1.09-alt1 1494364363 installed
<13>May 16 05:16:03 rpmi: libsbc1-2.0-alt2 sisyphus+322708.100.1.1 1686327806 installed
<13>May 16 05:16:03 rpmi: liblc3-1.1.2-alt1 sisyphus+372294.200.1.1 1738367989 installed
<13>May 16 05:16:03 rpmi: libfreeaptx-0.2.2-alt1 sisyphus+376949.100.1.1 1741184395 installed
<13>May 16 05:16:03 rpmi: libfdk-aac2-2.0.3-alt0.1 sisyphus+338863.100.1.1 1706094241 installed
<13>May 16 05:16:03 rpmi: libimath29-3.1.12-alt1.1 sisyphus+378502.100.1.1 1742362125 installed
