<86>May 16 05:04:33 userdel[2798848]: delete user 'rooter'
<86>May 16 05:04:33 userdel[2798848]: removed group 'rooter' owned by 'rooter'
<86>May 16 05:04:33 userdel[2798848]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 05:04:33 groupadd[2798880]: group added to /etc/group: name=rooter, GID=1850
<86>May 16 05:04:33 groupadd[2798880]: group added to /etc/gshadow: name=rooter
<86>May 16 05:04:33 groupadd[2798880]: new group: name=rooter, GID=1850
<86>May 16 05:04:33 useradd[2798912]: new user: name=rooter, UID=1850, GID=1850, home=/root, shell=/bin/bash, from=none
<86>May 16 05:04:33 userdel[2798947]: delete user 'builder'
<86>May 16 05:04:33 userdel[2798947]: removed group 'builder' owned by 'builder'
<86>May 16 05:04:33 userdel[2798947]: removed shadow group 'builder' owned by 'builder'
<86>May 16 05:04:33 groupadd[2798964]: group added to /etc/group: name=builder, GID=1851
<86>May 16 05:04:33 groupadd[2798964]: group added to /etc/gshadow: name=builder
<86>May 16 05:04:33 groupadd[2798964]: new group: name=builder, GID=1851
<86>May 16 05:04:33 useradd[2798988]: new user: name=builder, UID=1851, GID=1851, home=/usr/src, shell=/bin/bash, from=none
warning: Macro %cmake not found
warning: Macro %cmake_build not found
warning: Macro %cmake_install not found
<13>May 16 05:04:41 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 05:04:41 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 05:04:41 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 05:04:41 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:04:41 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 05:04:41 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 05:04:41 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 05:04:41 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 05:04:41 rpmi: libvorbis-1.3.7-alt1 sisyphus+275738.100.1.1 1624751601 installed
<13>May 16 05:04:41 rpmi: libusb-1.0.27-alt1 sisyphus+347412.100.1.1 1714739651 installed
<13>May 16 05:04:41 rpmi: libraw1394-11-2.1.2-alt1 sisyphus+278262.100.1.1 1626081867 installed
<13>May 16 05:04:41 rpmi: libgudev-1:238-alt1 sisyphus+324364.100.1.1 1688646144 installed
<13>May 16 05:04:41 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 05:04:41 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 05:04:42 rpmi: libopus-1.5.2-alt1.1 sisyphus+366209.100.1.1 1734786371 installed
<13>May 16 05:04:42 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 05:04:42 rpmi: libboost_system1.86.0-1:1.86.0-alt2 sisyphus+375553.1040.4.1 1740170417 installed
<13>May 16 05:04:42 rpmi: libsuitesparseconfig7-7.10.1-alt1 sisyphus+377064.100.1.2 1741261972 installed
<13>May 16 05:04:42 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 05:04:42 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 05:04:42 rpmi: libtheora-2:1.1.1-alt6 sisyphus+277967.100.1.1 1625928129 installed
<13>May 16 05:04:42 rpmi: libwayland-egl-4:18.1.0-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:04:42 rpmi: libhyphen-2.8.8-alt1 sisyphus+278186.100.1.1 1626075927 installed
