<86>May 16 04:34:29 userdel[517274]: delete user 'rooter'
<86>May 16 04:34:29 userdel[517274]: removed group 'rooter' owned by 'rooter'
<86>May 16 04:34:29 groupadd[517358]: group added to /etc/group: name=rooter, GID=1223
<86>May 16 04:34:29 groupadd[517358]: group added to /etc/gshadow: name=rooter
<86>May 16 04:34:29 groupadd[517358]: new group: name=rooter, GID=1223
<86>May 16 04:34:29 useradd[517429]: new user: name=rooter, UID=1223, GID=1223, home=/root, shell=/bin/bash, from=none
<86>May 16 04:34:29 userdel[517544]: delete user 'builder'
<86>May 16 04:34:29 groupadd[517595]: group added to /etc/group: name=builder, GID=1224
<86>May 16 04:34:29 groupadd[517595]: group added to /etc/gshadow: name=builder
<86>May 16 04:34:29 groupadd[517595]: new group: name=builder, GID=1224
<86>May 16 04:34:29 useradd[517688]: new user: name=builder, UID=1224, GID=1224, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 04:34:34 rpmi: rpm-macros-cmake-4.0.0-alt1 sisyphus+380707.100.1.1 1744023402 installed
<13>May 16 04:34:38 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 04:34:38 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 04:34:38 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 04:34:38 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 04:34:38 rpmi: qt6-base-common-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:38 rpmi: qt6-declarative-common-6.8.2-alt1 sisyphus+377511.100.1.2 1741614717 installed
<13>May 16 04:34:38 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 04:34:38 rpmi: libOpenGL-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 04:34:38 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 04:34:38 rpmi: qt6-tools-common-6.8.2-alt2 sisyphus+377512.100.1.1 1741606507 installed
<13>May 16 04:34:38 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 04:34:38 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 04:34:38 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 04:34:38 rpmi: libhogweed6-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 04:34:38 rpmi: libgnutls30-3.8.9-alt1 sisyphus+380042.200.2.1 1743618110 installed
<13>May 16 04:34:38 rpmi: libngtcp2.16-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 04:34:38 rpmi: libngtcp2_crypto_gnutls8-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 04:34:38 rpmi: libts0-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 04:34:38 rpmi: libmtdev-1.1.6-alt1 sisyphus+278361.100.1.1 1626091644 installed
<13>May 16 04:34:38 rpmi: libevdev-1.13.4-alt1 sisyphus+379223.100.1.1 1742909304 installed
<13>May 16 04:34:38 rpmi: libdouble-conversion3-3.3.1-alt1 sisyphus+375894.100.1.1 1740393427 installed
<13>May 16 04:34:38 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 04:34:38 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 04:34:38 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 04:34:38 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 04:34:39 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 04:34:39 rpmi: libqt6-core-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:39 rpmi: libqt6-xml-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:39 rpmi: llvm19.1-filesystem-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275526 installed
<13>May 16 04:34:40 rpmi: clang19.1-support-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275526 installed
<13>May 16 04:34:40 rpmi: llvm19.1-polly-19.1.7-alt0.1 sisyphus+372108.200.3.1 1738275526 installed
<13>May 16 04:34:40 rpmi: libqt6-concurrent-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:40 rpmi: libqt6-test-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:40 rpmi: icu-utils-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 04:34:40 rpmi: libicu-devel-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 04:34:40 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 04:34:40 rpmi: libdouble-conversion-devel-3.3.1-alt1 sisyphus+375894.100.1.1 1740393427 installed
<13>May 16 04:34:40 rpmi: libqpdf30-12.2.0-alt1 sisyphus+383514.100.1.1 1746609512 installed
<13>May 16 04:34:40 rpmi: libGLES-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 04:34:40 rpmi: qt6-svg-common-6.8.2-alt1 sisyphus+374507.600.8.2 1739834258 installed
<13>May 16 04:34:40 rpmi: libxkbcommon-devel-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 04:34:40 rpmi: libjasper7-4.2.4-alt1 sisyphus+363913.100.2.1 1733524837 installed
<13>May 16 04:34:40 rpmi: libturbojpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 04:34:40 rpmi: libjpeg-devel-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 04:34:40 rpmi: rpm-macros-qt6-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:40 rpmi: xxd-4:9.1.1264-alt1 sisyphus+379906.100.1.1 1743513158 installed
<13>May 16 04:34:40 rpmi: vulkan-headers-1.4.313-alt1 sisyphus+383827.100.1.1 1746996478 installed
<13>May 16 04:34:40 rpmi: ninja-build-1:1.12.2-alt2.1 sisyphus+384170.100.1.1 1747249398 installed
<13>May 16 04:34:40 rpmi: libsqlite3-3.47.1-alt1 sisyphus+375553.2600.2.1 1740149712 installed
<13>May 16 04:34:40 rpmi: libqt6-sql-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:40 rpmi: libwacom-data-2.15.0-alt1 sisyphus+378824.100.1.1 1742614418 installed
<13>May 16 04:34:40 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 04:34:40 rpmi: libgudev-1:238-alt1 sisyphus+324364.100.1.1 1688646144 installed
<13>May 16 04:34:40 rpmi: libgmp-devel-6.3.0-alt1 sisyphus+328118.100.2.1 1693294124 installed
<13>May 16 04:34:40 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 04:34:40 rpmi: libduktape207-2.7.0-alt3 sisyphus+352341.100.1.1 1720324462 installed
<13>May 16 04:34:40 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 04:34:40 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 04:34:40 rpmi: libavahi-0.8-alt5 sisyphus+370646.100.1.1 1737385841 installed
<13>May 16 04:34:40 rpmi: libqt6-dbus-6.8.2-alt3 sisyphus+377708.100.1.1 1741768543 installed
<13>May 16 04:34:40 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 04:34:41 rpmi: libSDL2-2.32.6-alt1 sisyphus+383337.100.1.1 1746466019 installed
<13>May 16 04:34:41 rpmi: tslib-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 04:34:41 rpmi: libltdl7-2.4.7-alt5 sisyphus+341963.200.3.1 1711659208 installed
<13>May 16 04:34:41 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 04:34:41 rpmi: libjbig2.1-2.1-alt2 sisyphus+326386.40.6.1 1691148231 installed
<13>May 16 04:34:41 rpmi: libnuma-2.0.19-alt1 sisyphus+363830.100.1.1 1733131852 installed
