<86>May 16 03:34:33 userdel[502042]: delete user 'rooter'
<86>May 16 03:34:33 userdel[502042]: removed group 'rooter' owned by 'rooter'
<86>May 16 03:34:33 userdel[502042]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 03:34:33 groupadd[502062]: group added to /etc/group: name=rooter, GID=1247
<86>May 16 03:34:33 groupadd[502062]: group added to /etc/gshadow: name=rooter
<86>May 16 03:34:33 groupadd[502062]: new group: name=rooter, GID=1247
<86>May 16 03:34:33 useradd[502085]: new user: name=rooter, UID=1247, GID=1247, home=/root, shell=/bin/bash, from=none
<86>May 16 03:34:33 userdel[502113]: delete user 'builder'
<86>May 16 03:34:33 userdel[502113]: removed group 'builder' owned by 'builder'
<86>May 16 03:34:33 userdel[502113]: removed shadow group 'builder' owned by 'builder'
<86>May 16 03:34:33 groupadd[502137]: group added to /etc/group: name=builder, GID=1248
<86>May 16 03:34:33 groupadd[502137]: group added to /etc/gshadow: name=builder
<86>May 16 03:34:33 groupadd[502137]: new group: name=builder, GID=1248
<86>May 16 03:34:33 useradd[502160]: new user: name=builder, UID=1248, GID=1248, home=/usr/src, shell=/bin/bash, from=none
warning: user grenka does not exist - using root
warning: group grenka does not exist - using root
warning: user grenka does not exist - using root
warning: group grenka does not exist - using root
warning: user grenka does not exist - using root
warning: group grenka does not exist - using root
<13>May 16 03:34:40 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 03:34:40 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 03:34:40 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 03:34:40 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 03:34:40 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 03:34:40 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
