<86>May 10 09:13:02 userdel[1778318]: delete user 'rooter'
<86>May 10 09:13:02 userdel[1778318]: removed group 'rooter' owned by 'rooter'
<86>May 10 09:13:02 userdel[1778318]: removed shadow group 'rooter' owned by 'rooter'
<86>May 10 09:13:02 groupadd[1778333]: group added to /etc/group: name=rooter, GID=1820
<86>May 10 09:13:02 groupadd[1778333]: group added to /etc/gshadow: name=rooter
<86>May 10 09:13:02 groupadd[1778333]: new group: name=rooter, GID=1820
<86>May 10 09:13:02 useradd[1778346]: new user: name=rooter, UID=1820, GID=1820, home=/root, shell=/bin/bash, from=none
<86>May 10 09:13:02 userdel[1778367]: delete user 'builder'
<86>May 10 09:13:02 userdel[1778367]: removed group 'builder' owned by 'builder'
<86>May 10 09:13:02 userdel[1778367]: removed shadow group 'builder' owned by 'builder'
<86>May 10 09:13:02 groupadd[1778384]: group added to /etc/group: name=builder, GID=1821
<86>May 10 09:13:02 groupadd[1778384]: group added to /etc/gshadow: name=builder
<86>May 10 09:13:02 groupadd[1778384]: new group: name=builder, GID=1821
<86>May 10 09:13:02 useradd[1778401]: new user: name=builder, UID=1821, GID=1821, home=/usr/src, shell=/bin/bash, from=none
<13>May 10 09:13:05 rpmi: rpm-build-compat-2.4.8-alt1 sisyphus+383198.100.1.1 1746298985 installed
<13>May 10 09:13:05 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432033 installed
<13>May 10 09:13:05 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468406 installed
<13>May 10 09:13:05 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519386 installed
<13>May 10 09:13:05 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 10 09:13:05 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962878 installed
<13>May 10 09:13:05 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622586 installed
<13>May 10 09:13:05 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 10 09:13:05 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 10 09:13:05 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 10 09:13:05 rpmi: ca-certificates-2025.02.10-alt1 sisyphus+374228.100.4.1 1739265441 installed
<13>May 10 09:13:05 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 10 09:13:05 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622586 installed
<13>May 10 09:13:05 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299702 installed
<13>May 10 09:13:05 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299702 installed
<13>May 10 09:13:05 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802963 installed
<13>May 10 09:13:06 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802963 installed
<13>May 10 09:13:06 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 10 09:13:06 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 10 09:13:06 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 10 09:13:06 rpmi: rpm-build-intro-2.4.8-alt1 sisyphus+383198.100.1.1 1746298985 installed
WARNING: %python3_build_debug is deprecated and will be removed in future, please use %pyproject_build instead
WARNING: %python3_install is deprecated and will be removed in future, please use %pyproject_install instead
<13>May 10 09:13:08 rpmi: python3-module-attrs-25.3.0-alt1 sisyphus+378700.100.1.1 1742472992 installed
<13>May 10 09:13:08 rpmi: python3-module-zope.interface-7.2-alt1.1 sisyphus+376369.21500.10.1 1746631890 installed
<13>May 10 09:13:08 rpmi: python3-module-idna-3.10-alt1 sisyphus+358681.100.1.1 1727701241 installed
<13>May 10 09:13:08 rpmi: python3-module-packaging-25.0-alt1 sisyphus+382195.100.1.1 1745223121 installed
<13>May 10 09:13:08 rpmi: python3-module-more-itertools-10.6.0-alt1 sisyphus+369595.100.2.1 1737017267 installed
<13>May 10 09:13:08 rpmi: python3-module-jaraco.functools-4.1.0-alt1.1 sisyphus+376369.24200.10.1 1746632566 installed
<13>May 10 09:13:08 rpmi: python3-module-propcache-0.2.1-alt1 sisyphus+369528.100.1.1 1736868993 installed
<13>May 10 09:13:08 rpmi: python3-module-multidict-6.4.3-alt1 sisyphus+381313.100.1.1 1744375528 installed
<13>May 10 09:13:08 rpmi: python3-module-click-8.1.8-alt1 sisyphus+366297.100.1.1 1734946237 installed
<13>May 10 09:13:08 rpmi: python3-module-sortedcontainers-2.4.0-alt1 sisyphus+272042.100.1.1 1621262424 installed
<13>May 10 09:13:08 rpmi: python3-module-frozenlist-1.5.0-alt1 sisyphus+362047.100.1.1 1731079174 installed
<13>May 10 09:13:08 rpmi: python3-module-platformdirs-4.3.7-alt1 sisyphus+378659.100.2.1 1742562597 installed
<13>May 10 09:13:08 rpmi: libopenblas-0.3.29-alt2 sisyphus+373279.100.1.1 1738760153 installed
<13>May 10 09:13:08 rpmi: libcares-1.34.5-alt1 sisyphus+381066.100.1.1 1744213479 installed
<13>May 10 09:13:08 rpmi: python3-module-aiosignal-1.3.2-alt1 sisyphus+369480.100.1.1 1736854528 installed
<13>May 10 09:13:08 rpmi: python3-module-incremental-22.10.0-alt1 sisyphus+312706.100.1.1 1672404273 installed
<13>May 10 09:13:08 rpmi: python3-module-yarl-1.18.3-alt1 sisyphus+369529.100.2.1 1736876452 installed
<13>May 10 09:13:08 rpmi: python3-module-hyperlink-21.0.0-alt1.1 sisyphus+304836.100.1.1 1659710964 installed
<13>May 10 09:13:08 rpmi: python3-module-outcome-1.3.0-alt1 sisyphus+332382.100.1.1 1697882349 installed
<13>May 10 09:13:08 rpmi: python3-module-urllib3-2:2.4.0-alt1 sisyphus+381271.100.2.1 1744618213 installed
<13>May 10 09:13:09 rpmi: python3-module-pytz-1:2025.2-alt1 sisyphus+379213.100.2.1 1742985453 installed
<13>May 10 09:13:09 rpmi: python3-module-pluggy-1.5.0-alt1 sisyphus+345632.100.2.1 1713864244 installed
<13>May 10 09:13:09 rpmi: python3-module-iniconfig-2.1.0-alt1 sisyphus+378658.100.2.1 1742493599 installed
<13>May 10 09:13:09 rpmi: python3-module-pytest-8.3.5-alt1 sisyphus+376824.100.2.1 1741167719 installed
<13>May 10 09:13:09 rpmi: python3-module-lark-1.2.2-alt1 sisyphus+358322.100.1.1 1727258177 installed
<13>May 10 09:13:09 rpmi: python3-module-sqlparse-0.5.3-alt1 sisyphus+367438.100.1.1 1735561443 installed
<13>May 10 09:13:09 rpmi: python3-module-markupsafe-1:3.0.2-alt1 sisyphus+360209.100.1.1 1729323052 installed
<13>May 10 09:13:09 rpmi: python3-module-jinja2-3.1.6-alt1 sisyphus+377889.1500.2.1 1742249941 installed
<13>May 10 09:13:09 rpmi: python3-module-six-1.17.0-alt1.1 sisyphus+373470.100.1.1 1738920023 installed
<13>May 10 09:13:09 rpmi: python3-module-dateutil-2.9.0.post0-alt1 sisyphus+378451.100.1.1 1742313746 installed
<13>May 10 09:13:09 rpmi: python3-module-charset-normalizer-3.2.0-alt1 sisyphus+347396.200.2.1 1714733144 installed
<13>May 10 09:13:09 rpmi: python3-module-requests-2.32.3-alt1 sisyphus+349946.100.1.1 1717059877 installed
<13>May 10 09:13:09 rpmi: python3-module-pathspec-0.12.1-alt1 sisyphus+341971.100.1.1 1709553025 installed
<13>May 10 09:13:09 rpmi: python3-module-mypy_extensions-1.0.0-alt1 sisyphus+316350.100.2.1 1678357948 installed
<13>May 10 09:13:09 rpmi: python3-module-asgiref-3.8.1-alt1 sisyphus+372174.1500.2.1 1738333633 installed
<13>May 10 09:13:09 rpmi: python3-module-typing_extensions-4.13.2-alt1 sisyphus+381315.100.1.1 1744375640 installed
<13>May 10 09:13:09 rpmi: python3-module-priority-2.0.0-alt3 sisyphus+338701.100.1.2 1705988383 installed
<13>May 10 09:13:09 rpmi: python3-module-hpack-4.0.0-alt1 sisyphus+270376.200.1.1 1618956626 installed
<13>May 10 09:13:09 rpmi: python3-module-hyperframe-6.0.1-alt1 sisyphus+270376.300.2.1 1618957001 installed
<13>May 10 09:13:09 rpmi: python3-module-h2-4.1.0-alt1 sisyphus+325714.100.2.2 1690478873 installed
<13>May 10 09:13:09 rpmi: python3-module-constantly-15.1.0-alt7 sisyphus+338906.100.1.1 1706107088 installed
<13>May 10 09:13:09 rpmi: python3-module-appdirs-1.4.4-alt2 sisyphus+359005.100.1.1 1728036426 installed
