<86>May 16 02:10:51 userdel[3280280]: delete user 'rooter'
<86>May 16 02:10:51 userdel[3280280]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:10:51 userdel[3280280]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:10:51 groupadd[3280355]: group added to /etc/group: name=rooter, GID=1793
<86>May 16 02:10:51 groupadd[3280355]: group added to /etc/gshadow: name=rooter
<86>May 16 02:10:51 groupadd[3280355]: new group: name=rooter, GID=1793
<86>May 16 02:10:51 useradd[3280420]: new user: name=rooter, UID=1793, GID=1793, home=/root, shell=/bin/bash, from=none
<86>May 16 02:10:51 userdel[3280533]: delete user 'builder'
<86>May 16 02:10:51 userdel[3280533]: removed group 'builder' owned by 'builder'
<86>May 16 02:10:51 userdel[3280533]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:10:51 groupadd[3280620]: group added to /etc/group: name=builder, GID=1794
<86>May 16 02:10:51 groupadd[3280620]: group added to /etc/gshadow: name=builder
<86>May 16 02:10:51 groupadd[3280620]: new group: name=builder, GID=1794
<86>May 16 02:10:51 useradd[3280688]: new user: name=builder, UID=1794, GID=1794, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 02:10:55 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 02:10:55 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 02:10:55 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:10:55 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 02:10:55 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 02:10:55 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 02:10:55 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 02:10:55 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 02:10:55 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 02:10:55 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 02:10:55 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 02:10:55 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 02:10:56 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 02:10:56 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 02:10:56 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 02:10:56 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 02:10:56 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 16 02:10:56 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 02:10:56 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 02:10:59 rpmi: python3-module-attrs-25.3.0-alt1 sisyphus+378700.100.1.1 1742472992 installed
<13>May 16 02:10:59 rpmi: python3-module-zope.interface-7.2-alt1.1 sisyphus+376369.21500.10.1 1746631801 installed
<13>May 16 02:10:59 rpmi: python3-module-idna-3.10-alt1 sisyphus+358681.100.1.1 1727701241 installed
<13>May 16 02:10:59 rpmi: python3-module-packaging-25.0-alt1 sisyphus+382195.100.1.1 1745223121 installed
<13>May 16 02:10:59 rpmi: python3-module-more-itertools-10.6.0-alt1 sisyphus+369595.100.2.1 1737017267 installed
<13>May 16 02:10:59 rpmi: python3-module-jaraco.functools-4.1.0-alt1.1 sisyphus+376369.24200.10.1 1746632566 installed
<13>May 16 02:10:59 rpmi: python3-module-rpds-py-0.24.0-alt1 sisyphus+379397.100.1.1 1743076397 installed
<13>May 16 02:10:59 rpmi: python3-module-typing_extensions-4.13.2-alt1 sisyphus+381315.100.1.1 1744375640 installed
<13>May 16 02:10:59 rpmi: python3-module-referencing-0.36.2-alt1 sisyphus+371784.100.1.1 1737888262 installed
<13>May 16 02:10:59 rpmi: python3-module-click-8.1.8-alt1 sisyphus+366297.100.1.1 1734946237 installed
<13>May 16 02:10:59 rpmi: python3-module-sortedcontainers-2.4.0-alt1 sisyphus+272042.100.1.1 1621262424 installed
<13>May 16 02:10:59 rpmi: python3-module-propcache-0.2.1-alt1 sisyphus+369528.100.1.1 1736868993 installed
<13>May 16 02:10:59 rpmi: python3-module-multidict-6.4.3-alt1 sisyphus+381313.100.1.1 1744375526 installed
<13>May 16 02:10:59 rpmi: python3-module-frozenlist-1.5.0-alt1 sisyphus+362047.100.1.1 1731079173 installed
<13>May 16 02:10:59 rpmi: python3-module-platformdirs-4.3.7-alt1 sisyphus+378659.100.2.1 1742562597 installed
<13>May 16 02:10:59 rpmi: libopenblas-0.3.29-alt2 sisyphus+373279.100.1.1 1738760159 installed
