<86>May 16 04:13:50 userdel[2829212]: delete user 'rooter'
<86>May 16 04:13:50 userdel[2829212]: removed group 'rooter' owned by 'rooter'
<86>May 16 04:13:50 userdel[2829212]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 04:13:50 groupadd[2829281]: group added to /etc/group: name=rooter, GID=1841
<86>May 16 04:13:50 groupadd[2829281]: group added to /etc/gshadow: name=rooter
<86>May 16 04:13:50 groupadd[2829281]: new group: name=rooter, GID=1841
<86>May 16 04:13:50 useradd[2829336]: new user: name=rooter, UID=1841, GID=1841, home=/root, shell=/bin/bash, from=none
<86>May 16 04:13:50 userdel[2829405]: delete user 'builder'
<86>May 16 04:13:50 userdel[2829405]: removed group 'builder' owned by 'builder'
<86>May 16 04:13:50 userdel[2829405]: removed shadow group 'builder' owned by 'builder'
<86>May 16 04:13:50 groupadd[2829461]: group added to /etc/group: name=builder, GID=1842
<86>May 16 04:13:50 groupadd[2829461]: group added to /etc/gshadow: name=builder
<86>May 16 04:13:50 groupadd[2829461]: new group: name=builder, GID=1842
<86>May 16 04:13:50 useradd[2829517]: new user: name=builder, UID=1842, GID=1842, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 04:13:54 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 04:13:54 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 04:13:54 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 04:13:54 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 04:13:54 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 04:13:54 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 04:13:54 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 04:13:54 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 04:13:54 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 04:13:54 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 04:13:54 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 04:13:54 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 04:13:54 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 04:13:54 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 04:13:54 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 04:13:54 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 04:13:54 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 16 04:13:55 rpmi: python3-module-pyproject-installer-0.5.5-alt2 sisyphus+366395.100.1.1 1735032014 installed
<13>May 16 04:13:55 rpmi: rpm-macros-pyproject-0.0.9-alt1 sisyphus+362541.300.2.1 1731671840 installed
<13>May 16 04:13:55 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 04:13:55 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
