<86>May 16 05:22:47 userdel[1548231]: delete user 'rooter'
<86>May 16 05:22:47 userdel[1548231]: removed group 'rooter' owned by 'rooter'
<86>May 16 05:22:47 userdel[1548231]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 05:22:47 groupadd[1548264]: group added to /etc/group: name=rooter, GID=1811
<86>May 16 05:22:47 groupadd[1548264]: group added to /etc/gshadow: name=rooter
<86>May 16 05:22:47 groupadd[1548264]: new group: name=rooter, GID=1811
<86>May 16 05:22:47 useradd[1548294]: new user: name=rooter, UID=1811, GID=1811, home=/root, shell=/bin/bash, from=none
<86>May 16 05:22:47 userdel[1548325]: delete user 'builder'
<86>May 16 05:22:47 userdel[1548325]: removed group 'builder' owned by 'builder'
<86>May 16 05:22:47 userdel[1548325]: removed shadow group 'builder' owned by 'builder'
<86>May 16 05:22:47 groupadd[1548348]: group added to /etc/group: name=builder, GID=1812
<86>May 16 05:22:47 groupadd[1548348]: group added to /etc/gshadow: name=builder
<86>May 16 05:22:47 groupadd[1548348]: new group: name=builder, GID=1812
<86>May 16 05:22:47 useradd[1548367]: new user: name=builder, UID=1812, GID=1812, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 05:22:50 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 05:22:50 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 05:22:50 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 05:22:50 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 05:22:50 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 05:22:50 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 05:22:50 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 05:22:50 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 05:22:50 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 05:22:50 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 05:22:50 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 05:22:50 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 05:22:50 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 05:22:50 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
