<86>May 16 03:27:32 userdel[366178]: delete user 'rooter'
<86>May 16 03:27:32 userdel[366178]: removed group 'rooter' owned by 'rooter'
<86>May 16 03:27:32 userdel[366178]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 03:27:32 groupadd[366185]: group added to /etc/group: name=rooter, GID=1217
<86>May 16 03:27:32 groupadd[366185]: group added to /etc/gshadow: name=rooter
<86>May 16 03:27:32 groupadd[366185]: new group: name=rooter, GID=1217
<86>May 16 03:27:32 useradd[366191]: new user: name=rooter, UID=1217, GID=1217, home=/root, shell=/bin/bash, from=none
<86>May 16 03:27:32 userdel[366201]: delete user 'builder'
<86>May 16 03:27:32 userdel[366201]: removed group 'builder' owned by 'builder'
<86>May 16 03:27:32 groupadd[366208]: group added to /etc/group: name=builder, GID=1218
<86>May 16 03:27:32 groupadd[366208]: group added to /etc/gshadow: name=builder
<86>May 16 03:27:32 groupadd[366208]: new group: name=builder, GID=1218
<86>May 16 03:27:32 useradd[366214]: new user: name=builder, UID=1218, GID=1218, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 03:27:41 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 03:27:41 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 03:27:41 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 03:27:41 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 03:27:41 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 03:27:41 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 03:27:41 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 03:27:41 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 03:27:41 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 03:27:41 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 03:27:41 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 03:27:41 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 03:27:42 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 03:27:42 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 03:27:42 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 03:27:42 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 03:27:42 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 16 03:27:43 rpmi: python3-module-pyproject-installer-0.5.5-alt2 sisyphus+366395.100.1.1 1735032014 installed
<13>May 16 03:27:43 rpmi: rpm-macros-pyproject-0.0.9-alt1 sisyphus+362541.300.2.1 1731671840 installed
<13>May 16 03:27:43 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 03:27:43 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 03:27:43 rpmi: rpm-build-pyproject-0.0.9-alt1 sisyphus+362541.300.2.1 1731671840 installed
<13>May 16 03:28:14 rpmi: python3-module-typing_extensions-4.13.2-alt1 sisyphus+381315.100.1.1 1744375640 installed
<13>May 16 03:28:14 rpmi: python3-module-attrs-25.3.0-alt1 sisyphus+378700.100.1.1 1742472992 installed
<13>May 16 03:28:14 rpmi: python3-module-docutils-0.20.1-alt1 sisyphus+323438.100.1.1 1687370718 installed
<13>May 16 03:28:14 rpmi: python3-module-click-8.1.8-alt1 sisyphus+366297.100.1.1 1734946237 installed
<13>May 16 03:28:14 rpmi: python3-module-zope.interface-7.2-alt1.1 sisyphus+376369.21500.10.1 1746631801 installed
<13>May 16 03:28:14 rpmi: python3-module-idna-3.10-alt1 sisyphus+358681.100.1.1 1727701241 installed
<13>May 16 03:28:14 rpmi: python3-module-Pygments-2.19.1-alt1 sisyphus+368586.100.2.1 1737039695 installed
<13>May 16 03:28:14 rpmi: python3-module-packaging-25.0-alt1 sisyphus+382195.100.1.1 1745223121 installed
<13>May 16 03:28:14 rpmi: python3-module-six-1.17.0-alt1.1 sisyphus+373470.100.1.1 1738920023 installed
<13>May 16 03:28:14 rpmi: python3-module-dateutil-2.9.0.post0-alt1 sisyphus+378451.100.1.1 1742313746 installed
<13>May 16 03:28:14 rpmi: python3-module-markupsafe-1:3.0.2-alt1 sisyphus+360209.100.1.1 1729323052 installed
<13>May 16 03:28:14 rpmi: python3-module-jinja2-3.1.6-alt1 sisyphus+377889.1500.2.1 1742249941 installed
<13>May 16 03:28:14 rpmi: python3-module-urllib3-2:2.4.0-alt1 sisyphus+381271.100.2.1 1744618213 installed
<13>May 16 03:28:14 rpmi: python3-module-wcwidth-0.2.13-alt1 sisyphus+341792.100.2.1 1709543329 installed
<13>May 16 03:28:14 rpmi: python3-module-asgiref-3.8.1-alt1 sisyphus+372174.1500.2.1 1738333633 installed
<13>May 16 03:28:14 rpmi: python3-module-pluggy-1.5.0-alt1 sisyphus+345632.100.2.1 1713864244 installed
<13>May 16 03:28:14 rpmi: python3-module-werkzeug-3.1.3-alt1 sisyphus+361875.200.2.1 1731337173 installed
<13>May 16 03:28:14 rpmi: python3-module-outcome-1.3.0-alt1 sisyphus+332382.100.1.1 1697882349 installed
<13>May 16 03:28:14 rpmi: python3-module-h11-0.14.0-alt1 sisyphus+312690.100.1.1 1672395335 installed
<13>May 16 03:28:14 rpmi: python3-module-itsdangerous-2.2.0-alt1 sisyphus+345793.200.2.1 1714032239 installed
<13>May 16 03:28:14 rpmi: python3-module-jmespath-1.0.1-alt1 sisyphus+317988.100.2.1 1680612150 installed
<13>May 16 03:28:14 rpmi: python3-module-certifi-2024.12.14-alt1 sisyphus+369729.200.2.2 1737050219 installed
<13>May 16 03:28:14 rpmi: python3-module-sniffio-1.3.1-alt1 sisyphus+341424.100.1.1 1708941879 installed
<13>May 16 03:28:14 rpmi: python3-module-anyio-4.9.0-alt1 sisyphus+380033.1100.6.1 1743624903 installed
<13>May 16 03:28:14 rpmi: python3-module-starlette-0.46.2-alt1 sisyphus+382533.100.1.1 1745502362 installed
<13>May 16 03:28:14 rpmi: python3-module-multidict-6.4.3-alt1 sisyphus+381313.100.1.1 1744375526 installed
<13>May 16 03:28:14 rpmi: python3-module-more-itertools-10.6.0-alt1 sisyphus+369595.100.2.1 1737017267 installed
<13>May 16 03:28:14 rpmi: libtcl-8.6.13-alt1 sisyphus+310696.100.1.1 1669548266 installed
<13>May 16 03:28:14 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 03:28:14 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 03:28:14 rpmi: python3-module-jaraco.functools-4.1.0-alt1.1 sisyphus+376369.24200.10.1 1746632566 installed
<13>May 16 03:28:14 rpmi: python3-module-hyperlink-21.0.0-alt1.1 sisyphus+304836.100.1.1 1659710964 installed
<13>May 16 03:28:14 rpmi: python3-module-traitlets-5.14.3-alt1 sisyphus+345559.100.1.1 1713606266 installed
<13>May 16 03:28:14 rpmi: python3-module-rpds-py-0.24.0-alt1 sisyphus+379397.100.1.1 1743076397 installed
<13>May 16 03:28:14 rpmi: python3-module-referencing-0.36.2-alt1 sisyphus+371784.100.1.1 1737888262 installed
<13>May 16 03:28:14 rpmi: python3-module-html5tagger-1.3.0-alt1 sisyphus+354562.600.3.1 1723069786 installed
<13>May 16 03:28:15 rpmi: python3-module-graphql-core-3.2.6-alt1 sisyphus+376265.100.1.1 1740648737 installed
<13>May 16 03:28:15 rpmi: python3-module-xmod-1.8.1-alt1 sisyphus+354658.1700.13.1 1723248064 installed
<13>May 16 03:28:15 rpmi: python3-module-blinker-1.9.0-alt1 sisyphus+362571.300.7.1 1734000808 installed
<13>May 16 03:28:15 rpmi: python3-module-flask-3.1.0-alt1 sisyphus+362571.400.7.1 1734000837 installed
<13>May 16 03:28:15 rpmi: python3-module-pathspec-0.12.1-alt1 sisyphus+341971.100.1.1 1709553025 installed
<13>May 16 03:28:15 rpmi: python3-module-mypy_extensions-1.0.0-alt1 sisyphus+316350.100.2.1 1678357948 installed
<13>May 16 03:28:15 rpmi: python3-module-decorator-5.2.1-alt1 sisyphus+376067.100.1.1 1740491622 installed
<13>May 16 03:28:15 rpmi: python3-module-priority-2.0.0-alt3 sisyphus+338701.100.1.2 1705988383 installed
<13>May 16 03:28:15 rpmi: python3-module-sortedcontainers-2.4.0-alt1 sisyphus+272042.100.1.1 1621262424 installed
<13>May 16 03:28:15 rpmi: python3-module-propcache-0.2.1-alt1 sisyphus+369528.100.1.1 1736868993 installed
<13>May 16 03:28:15 rpmi: python3-module-frozenlist-1.5.0-alt1 sisyphus+362047.100.1.1 1731079173 installed
<13>May 16 03:28:15 rpmi: python3-module-platformdirs-4.3.7-alt1 sisyphus+378659.100.2.1 1742562597 installed
<13>May 16 03:28:15 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 03:28:15 rpmi: libopenblas-0.3.29-alt2 sisyphus+373279.100.1.1 1738760159 installed
<13>May 16 03:28:15 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 03:28:15 rpmi: libcares-1.34.5-alt1 sisyphus+381066.100.1.1 1744213475 installed
<13>May 16 03:28:15 rpmi: python3-module-aiosignal-1.3.2-alt1 sisyphus+369480.100.1.1 1736854528 installed
<13>May 16 03:28:15 rpmi: python3-module-yarl-1.18.3-alt1 sisyphus+369529.100.2.1 1736876451 installed
<13>May 16 03:28:15 rpmi: python3-module-mypy-1.15.0-alt2 sisyphus+384204.100.1.1 1747304735 installed
<13>May 16 03:28:15 rpmi: python3-module-runs-1.2.2-alt1 sisyphus+354658.2200.13.1 1723248163 installed
<13>May 16 03:28:15 rpmi: python3-module-editor-1.6.6-alt1 sisyphus+354658.2300.20.1 1723501752 installed
<13>May 16 03:28:15 rpmi: python3-module-jsonschema-specifications-2024.10.1-alt2 sisyphus+376621.100.1.1 1740871880 installed
<13>May 16 03:28:15 rpmi: python3-module-jsonschema-4.23.0-alt1 sisyphus+352455.200.1.1 1720510011 installed
<13>May 16 03:28:15 rpmi: libhogweed6-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 03:28:15 rpmi: libgnutls30-3.8.9-alt1 sisyphus+380042.200.2.1 1743618110 installed
<13>May 16 03:28:15 rpmi: libngtcp2.16-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 03:28:15 rpmi: libngtcp2_crypto_gnutls8-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 03:28:15 rpmi: tcl-8.6.13-alt1 sisyphus+310696.100.1.1 1669548266 installed
<13>May 16 03:28:15 rpmi: python3-module-wsproto-1.2.0-alt1 sisyphus+309644.100.1.2 1667834502 installed
<13>May 16 03:28:15 rpmi: python3-module-prettytable-2.1.0-alt1 sisyphus+269172.200.1.1 1617824839 installed
<13>May 16 03:28:15 rpmi: python3-module-alabaster-0.7.16-alt1 sisyphus+349698.100.1.1 1716897815 installed
<13>May 16 03:28:15 rpmi: python3-module-ipython-pygments-lexers-1.1.1-alt1 sisyphus+377149.100.4.1 1741352254 installed
<13>May 16 03:28:15 rpmi: python3-module-incremental-22.10.0-alt1 sisyphus+312706.100.1.1 1672404273 installed
<13>May 16 03:28:15 rpmi: python3-module-pydantic-core-2.33.2-alt1 sisyphus+383374.100.3.1 1746561227 installed
<13>May 16 03:28:15 rpmi: python3-module-typing-inspection-0.4.0-alt1 sisyphus+380428.300.1.1 1743797867 installed
<13>May 16 03:28:16 rpmi: python3-module-shellingham-1.5.4-alt1 sisyphus+332574.100.1.1 1698135363 installed
<13>May 16 03:28:16 rpmi: python3-module-websockets-14.1-alt1 sisyphus+369527.100.1.1 1736868330 installed
<13>May 16 03:28:16 rpmi: python3-module-sanic-routing-23.12.0-alt1 sisyphus+352905.1200.13.1 1722262189 installed
<13>May 16 03:28:16 rpmi: python3-module-testpath-0.6.0-alt2 sisyphus+309123.500.4.1 1668095372 installed
<13>May 16 03:28:16 rpmi: python3-module-pure-eval-0.2.3-alt1 sisyphus+353357.100.1.1 1721650016 installed
<13>May 16 03:28:16 rpmi: python3-module-pyogg-0.6.14-alt1 sisyphus+367505.100.1.1 1735845349 installed
<13>May 16 03:28:16 rpmi: python3-module-pyglet-1.5.30-alt1 sisyphus+367527.100.1.1 1735927191 installed
<13>May 16 03:28:16 rpmi: python3-module-pyperclip-1.9.0-alt1 sisyphus+353859.100.1.1 1722231798 installed
