<86>May 16 02:31:19 userdel[674698]: delete user 'rooter'
<86>May 16 02:31:19 userdel[674698]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:31:19 userdel[674698]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:31:19 groupadd[674774]: group added to /etc/group: name=rooter, GID=1868
<86>May 16 02:31:19 groupadd[674774]: group added to /etc/gshadow: name=rooter
<86>May 16 02:31:19 groupadd[674774]: new group: name=rooter, GID=1868
<86>May 16 02:31:19 useradd[674846]: new user: name=rooter, UID=1868, GID=1868, home=/root, shell=/bin/bash, from=none
<86>May 16 02:31:19 userdel[674943]: delete user 'builder'
<86>May 16 02:31:19 userdel[674943]: removed group 'builder' owned by 'builder'
<86>May 16 02:31:19 userdel[674943]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:31:19 groupadd[675032]: group added to /etc/group: name=builder, GID=1869
<86>May 16 02:31:19 groupadd[675032]: group added to /etc/gshadow: name=builder
<86>May 16 02:31:19 groupadd[675032]: new group: name=builder, GID=1869
<86>May 16 02:31:19 useradd[675113]: new user: name=builder, UID=1869, GID=1869, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 02:31:23 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 02:31:23 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 02:31:23 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:31:23 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 02:31:23 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 02:31:23 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 02:31:23 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 02:31:23 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 02:31:23 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 02:31:23 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 02:31:23 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 02:31:23 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 02:31:23 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 02:31:23 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 02:31:23 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 02:31:23 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 02:31:23 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 16 02:31:23 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 02:31:23 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 02:31:28 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 02:31:28 rpmi: python3-module-docutils-0.20.1-alt1 sisyphus+323438.100.1.1 1687370718 installed
<13>May 16 02:31:28 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 02:31:28 rpmi: python3-module-packaging-25.0-alt1 sisyphus+382195.100.1.1 1745223121 installed
<13>May 16 02:31:28 rpmi: python3-module-more-itertools-10.6.0-alt1 sisyphus+369595.100.2.1 1737017267 installed
<13>May 16 02:31:28 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 02:31:28 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
