<86>May 16 05:12:25 userdel[3425294]: delete user 'rooter'
<86>May 16 05:12:25 userdel[3425294]: removed group 'rooter' owned by 'rooter'
<86>May 16 05:12:25 userdel[3425294]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 05:12:25 groupadd[3425301]: group added to /etc/group: name=rooter, GID=1235
<86>May 16 05:12:25 groupadd[3425301]: group added to /etc/gshadow: name=rooter
<86>May 16 05:12:25 groupadd[3425301]: new group: name=rooter, GID=1235
<86>May 16 05:12:25 useradd[3425311]: new user: name=rooter, UID=1235, GID=1235, home=/root, shell=/bin/bash, from=none
<86>May 16 05:12:25 userdel[3425335]: delete user 'builder'
<86>May 16 05:12:25 userdel[3425335]: removed group 'builder' owned by 'builder'
<86>May 16 05:12:25 userdel[3425335]: removed shadow group 'builder' owned by 'builder'
<86>May 16 05:12:25 groupadd[3425356]: group added to /etc/group: name=builder, GID=1236
<86>May 16 05:12:25 groupadd[3425356]: group added to /etc/gshadow: name=builder
<86>May 16 05:12:25 groupadd[3425356]: new group: name=builder, GID=1236
<86>May 16 05:12:25 useradd[3425373]: new user: name=builder, UID=1236, GID=1236, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 05:12:29 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432004 installed
<13>May 16 05:12:29 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468404 installed
<13>May 16 05:12:29 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 05:12:29 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 05:12:29 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962877 installed
<13>May 16 05:12:29 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 05:12:29 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 05:12:29 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 05:12:29 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 05:12:29 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 05:12:29 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 05:12:29 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 05:12:29 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 05:12:29 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 05:12:30 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 05:12:30 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802808 installed
<13>May 16 05:12:30 rpmi: python3-module-py3dephell-0.3.1-alt1 sisyphus+365261.200.1.1 1734463433 installed
<13>May 16 05:12:30 rpmi: python3-module-pyproject-installer-0.5.5-alt2 sisyphus+366395.100.1.1 1735032014 installed
<13>May 16 05:12:30 rpmi: rpm-macros-pyproject-0.0.9-alt1 sisyphus+362541.300.2.1 1731671840 installed
<13>May 16 05:12:30 rpmi: tests-for-installed-python3-pkgs-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 05:12:30 rpmi: rpm-build-python3-0.1.28-alt1 sisyphus+375953.100.2.1 1740855713 installed
<13>May 16 05:12:30 rpmi: rpm-build-pyproject-0.0.9-alt1 sisyphus+362541.300.2.1 1731671840 installed
<13>May 16 05:12:34 rpmi: python3-module-docutils-0.20.1-alt1 sisyphus+323438.100.1.1 1687370718 installed
<13>May 16 05:12:34 rpmi: python3-module-idna-3.10-alt1 sisyphus+358681.100.1.1 1727701241 installed
<13>May 16 05:12:34 rpmi: python3-module-attrs-25.3.0-alt1 sisyphus+378700.100.1.1 1742472992 installed
<13>May 16 05:12:34 rpmi: python3-module-urllib3-2:2.4.0-alt1 sisyphus+381271.100.2.1 1744618213 installed
<13>May 16 05:12:34 rpmi: python3-module-zope.interface-7.2-alt1.1 sisyphus+376369.21500.10.1 1746631801 installed
<13>May 16 05:12:34 rpmi: python3-module-Pygments-2.19.1-alt1 sisyphus+368586.100.2.1 1737039695 installed
<13>May 16 05:12:34 rpmi: python3-module-markupsafe-1:3.0.2-alt1 sisyphus+360209.100.1.1 1729323052 installed
<13>May 16 05:12:34 rpmi: python3-module-jinja2-3.1.6-alt1 sisyphus+377889.1500.2.1 1742249941 installed
<13>May 16 05:12:34 rpmi: python3-module-six-1.17.0-alt1.1 sisyphus+373470.100.1.1 1738920023 installed
<13>May 16 05:12:34 rpmi: python3-module-click-8.1.8-alt1 sisyphus+366297.100.1.1 1734946237 installed
<13>May 16 05:12:34 rpmi: python3-module-certifi-2024.12.14-alt1 sisyphus+369729.200.2.2 1737050219 installed
<13>May 16 05:12:34 rpmi: python3-module-sniffio-1.3.1-alt1 sisyphus+341424.100.1.1 1708941879 installed
<13>May 16 05:12:34 rpmi: python3-module-packaging-25.0-alt1 sisyphus+382195.100.1.1 1745223121 installed
<13>May 16 05:12:34 rpmi: python3-module-more-itertools-10.6.0-alt1 sisyphus+369595.100.2.1 1737017267 installed
