<86>May 10 09:42:55 userdel[3496151]: delete user 'rooter'
<86>May 10 09:42:55 userdel[3496151]: removed group 'rooter' owned by 'rooter'
<86>May 10 09:42:55 userdel[3496151]: removed shadow group 'rooter' owned by 'rooter'
<86>May 10 09:42:55 groupadd[3496191]: group added to /etc/group: name=rooter, GID=1820
<86>May 10 09:42:55 groupadd[3496191]: group added to /etc/gshadow: name=rooter
<86>May 10 09:42:55 groupadd[3496191]: new group: name=rooter, GID=1820
<86>May 10 09:42:55 useradd[3496227]: new user: name=rooter, UID=1820, GID=1820, home=/root, shell=/bin/bash, from=none
<86>May 10 09:42:55 userdel[3496288]: delete user 'builder'
<86>May 10 09:42:55 userdel[3496288]: removed group 'builder' owned by 'builder'
<86>May 10 09:42:55 userdel[3496288]: removed shadow group 'builder' owned by 'builder'
<86>May 10 09:42:55 groupadd[3496333]: group added to /etc/group: name=builder, GID=1821
<86>May 10 09:42:55 groupadd[3496333]: group added to /etc/gshadow: name=builder
<86>May 10 09:42:55 groupadd[3496333]: new group: name=builder, GID=1821
<86>May 10 09:42:55 useradd[3496369]: new user: name=builder, UID=1821, GID=1821, home=/usr/src, shell=/bin/bash, from=none
<13>May 10 09:43:00 rpmi: libmpdec3-2.5.1-alt3 sisyphus+314490.500.5.1 1675432033 installed
<13>May 10 09:43:00 rpmi: libgdbm-1.8.3-alt10 sisyphus+346222.200.3.2 1716468406 installed
<13>May 10 09:43:00 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519386 installed
<13>May 10 09:43:00 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 10 09:43:00 rpmi: libb2-0.98.1-alt1_1 sisyphus+291614.100.1.1 1638962878 installed
<13>May 10 09:43:00 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622586 installed
<13>May 10 09:43:00 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 10 09:43:00 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 10 09:43:00 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 10 09:43:00 rpmi: ca-certificates-2025.02.10-alt1 sisyphus+374228.100.4.1 1739265441 installed
<13>May 10 09:43:00 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 10 09:43:00 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622586 installed
<13>May 10 09:43:00 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299702 installed
<13>May 10 09:43:00 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299702 installed
<13>May 10 09:43:00 rpmi: python3-3.12.10-alt1 sisyphus+381757.100.1.1 1744802963 installed
<13>May 10 09:43:01 rpmi: python3-base-3.12.10-alt1 sisyphus+381757.100.1.1 1744802963 installed
