<86>May 16 03:44:41 userdel[1185188]: delete user 'rooter'
<86>May 16 03:44:41 userdel[1185188]: removed group 'rooter' owned by 'rooter'
<86>May 16 03:44:41 userdel[1185188]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 03:44:41 groupadd[1185214]: group added to /etc/group: name=rooter, GID=1859
<86>May 16 03:44:41 groupadd[1185214]: group added to /etc/gshadow: name=rooter
<86>May 16 03:44:41 groupadd[1185214]: new group: name=rooter, GID=1859
<86>May 16 03:44:41 useradd[1185235]: new user: name=rooter, UID=1859, GID=1859, home=/root, shell=/bin/bash, from=none
<86>May 16 03:44:41 userdel[1185259]: delete user 'builder'
<86>May 16 03:44:41 userdel[1185259]: removed group 'builder' owned by 'builder'
<86>May 16 03:44:41 userdel[1185259]: removed shadow group 'builder' owned by 'builder'
<86>May 16 03:44:41 groupadd[1185275]: group added to /etc/group: name=builder, GID=1860
<86>May 16 03:44:41 groupadd[1185275]: group added to /etc/gshadow: name=builder
<86>May 16 03:44:41 groupadd[1185275]: new group: name=builder, GID=1860
<86>May 16 03:44:41 useradd[1185285]: new user: name=builder, UID=1860, GID=1860, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 03:44:44 rpmi: rpm-macros-qt5-webengine-0.4-alt1 sisyphus+293807.20.25.1 1645704818 installed
warning: Macro %cmake not found
warning: Macro %cmake_build not found
warning: Macro %cmake_install not found
<13>May 16 03:44:48 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 03:44:48 rpmi: qt5-base-common-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:44:48 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 03:44:48 rpmi: qt5-declarative-common-5.15.16-alt1 sisyphus+369622.100.1.3 1736947377 installed
<13>May 16 03:44:49 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 03:44:49 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 03:44:49 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 03:44:49 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 03:44:49 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 03:44:49 rpmi: libxkbcommon-1.9.2-alt1 sisyphus+383571.100.1.1 1746644628 installed
<13>May 16 03:44:49 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 03:44:49 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 03:44:49 rpmi: libopus-1.5.2-alt1.1 sisyphus+366209.100.1.1 1734786371 installed
<13>May 16 03:44:49 rpmi: libvorbis-1.3.7-alt1 sisyphus+275738.100.1.1 1624751601 installed
<13>May 16 03:44:49 rpmi: libraw1394-11-2.1.2-alt1 sisyphus+278262.100.1.1 1626081867 installed
<13>May 16 03:44:49 rpmi: libgudev-1:238-alt1 sisyphus+324364.100.1.1 1688646144 installed
<13>May 16 03:44:49 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 03:44:49 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 03:44:49 rpmi: libopenjpeg2.0-2.5.3-alt1 sisyphus+376290.11300.24.2 1745386888 installed
<13>May 16 03:44:49 rpmi: libsuitesparseconfig7-7.10.1-alt1 sisyphus+377064.100.1.2 1741261972 installed
<13>May 16 03:44:49 rpmi: libusb-1.0.27-alt1 sisyphus+347412.100.1.1 1714739651 installed
<13>May 16 03:44:49 rpmi: liborc-0.4.41-alt1 sisyphus+375168.100.1.1 1739869638 installed
<13>May 16 03:44:49 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 03:44:49 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 03:44:49 rpmi: libtheora-2:1.1.1-alt6 sisyphus+277967.100.1.1 1625928129 installed
<13>May 16 03:44:50 rpmi: libopenblas-0.3.29-alt2 sisyphus+373279.100.1.1 1738760159 installed
<13>May 16 03:44:50 rpmi: libsqlite3-3.47.1-alt1 sisyphus+375553.2600.2.1 1740149712 installed
<13>May 16 03:44:50 rpmi: perl-HTTP-Date-6.06-alt1 sisyphus+324527.100.1.1 1688834564 installed
<13>May 16 03:44:50 rpmi: perl-XML-NamespaceSupport-1.12-alt1 1491296348 installed
<13>May 16 03:44:50 rpmi: libSDL2-2.32.6-alt1 sisyphus+383337.100.1.1 1746466019 installed
<13>May 16 03:44:50 rpmi: libdvdread8-6.1.3-alt1 sisyphus+302642.100.1.1 1656163148 installed
<13>May 16 03:44:50 rpmi: libtalloc-1:2.4.2-alt1 sisyphus+342425.200.8.1 1714749074 installed
<13>May 16 03:44:50 rpmi: libtdb-1.4.10-alt1 sisyphus+342425.100.8.1 1714748986 installed
<13>May 16 03:44:50 rpmi: libserd-0.32.4-alt1 sisyphus+370586.200.1.1 1737371865 installed
<13>May 16 03:44:50 rpmi: libvpx9-1.15.0-alt1 sisyphus+366496.100.1.1 1735142013 installed
<13>May 16 03:44:50 rpmi: libvpl2-2.15.0-alt1 sisyphus+382522.100.1.1 1745498256 installed
<13>May 16 03:44:50 rpmi: libspirv-tools0-1:2025.2-alt0.1.rc2 sisyphus+383827.500.1.1 1746996673 installed
<13>May 16 03:44:50 rpmi: libspeex-1.2.1-alt1 sisyphus+339763.100.1.1 1707113839 installed
<13>May 16 03:44:50 rpmi: libfribidi-1.0.16-alt1 sisyphus+358393.100.1.1 1727333692 installed
<13>May 16 03:44:50 rpmi: liblame-3.100-alt1 sisyphus+346342.200.2.2 1716474674 installed
<13>May 16 03:44:50 rpmi: libgsm-1.0.22-alt1 sisyphus+381615.100.1.1 1744646649 installed
<13>May 16 03:44:50 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 03:44:50 rpmi: libtevent-0.16.1-alt1 sisyphus+342425.400.8.1 1714749143 installed
<13>May 16 03:44:50 rpmi: libiec61883-1.2.0-alt1.qa1 sisyphus+275365.100.1.2 1624491850 installed
<13>May 16 03:44:50 rpmi: libflac14-1.5.0-alt1 sisyphus+374510.100.1.1 1739435174 installed
<13>May 16 03:44:50 rpmi: libavahi-0.8-alt5 sisyphus+370646.100.1.1 1737385841 installed
<13>May 16 03:44:50 rpmi: libwayland-cursor-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 03:44:50 rpmi: libwayland-egl-4:18.1.0-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 03:44:50 rpmi: qt5-tools-common-5.15.16-alt1 sisyphus+369624.100.1.3 1736942699 installed
<13>May 16 03:44:50 rpmi: qt5-location-common-5.15.16-alt2 sisyphus+382598.200.2.1 1745825560 installed
<13>May 16 03:44:50 rpmi: qt5-webengine-common-5.15.18-alt1 sisyphus+382598.400.4.1 1745849872 installed
<13>May 16 03:44:50 rpmi: libyuv-0.0.1874-alt1 sisyphus+326054.40.2.1 1690679392 installed
<13>May 16 03:44:50 rpmi: libv4l-1.30.1-alt1 sisyphus+383276.100.1.1 1746438471 installed
<13>May 16 03:44:50 rpmi: libnspr-1:4.35-alt1 sisyphus+308164.100.1.1 1665397040 installed
<13>May 16 03:44:50 rpmi: libmtdev-1.1.6-alt1 sisyphus+278361.100.1.1 1626091644 installed
<13>May 16 03:44:50 rpmi: libevdev-1.13.4-alt1 sisyphus+379223.100.1.1 1742909304 installed
<13>May 16 03:44:50 rpmi: libts0-1.22-alt3 sisyphus+278442.100.1.2 1626216676 installed
<13>May 16 03:44:50 rpmi: libdouble-conversion3-3.3.1-alt1 sisyphus+375894.100.1.1 1740393427 installed
<13>May 16 03:44:50 rpmi: libqt5-core-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:44:50 rpmi: libqt5-sql-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
<13>May 16 03:44:50 rpmi: libqt5-dbus-5.15.16-alt1 sisyphus+382598.100.2.1 1745825135 installed
