<86>May 16 04:48:48 userdel[1700174]: delete user 'rooter'
<86>May 16 04:48:48 userdel[1700174]: removed group 'rooter' owned by 'rooter'
<86>May 16 04:48:48 userdel[1700174]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 04:48:48 groupadd[1700189]: group added to /etc/group: name=rooter, GID=1832
<86>May 16 04:48:48 groupadd[1700189]: group added to /etc/gshadow: name=rooter
<86>May 16 04:48:48 groupadd[1700189]: new group: name=rooter, GID=1832
<86>May 16 04:48:48 useradd[1700199]: new user: name=rooter, UID=1832, GID=1832, home=/root, shell=/bin/bash, from=none
<86>May 16 04:48:48 userdel[1700234]: delete user 'builder'
<86>May 16 04:48:48 userdel[1700234]: removed group 'builder' owned by 'builder'
<86>May 16 04:48:48 userdel[1700234]: removed shadow group 'builder' owned by 'builder'
<86>May 16 04:48:48 groupadd[1700281]: group added to /etc/group: name=builder, GID=1833
<86>May 16 04:48:48 groupadd[1700281]: group added to /etc/gshadow: name=builder
<86>May 16 04:48:48 groupadd[1700281]: new group: name=builder, GID=1833
<86>May 16 04:48:48 useradd[1700314]: new user: name=builder, UID=1833, GID=1833, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 04:48:53 rpmi: rpm-macros-cmake-4.0.0-alt1 sisyphus+380707.100.1.1 1744023402 installed
<13>May 16 04:49:05 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 04:49:05 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 04:49:05 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 04:49:05 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 04:49:05 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 04:49:05 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 04:49:05 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 04:49:05 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 04:49:05 rpmi: libsuitesparseconfig7-7.10.1-alt1 sisyphus+377064.100.1.2 1741261972 installed
