<86>May 16 05:09:27 userdel[2803319]: delete user 'rooter'
<86>May 16 05:09:27 userdel[2803319]: removed group 'rooter' owned by 'rooter'
<86>May 16 05:09:27 userdel[2803319]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 05:09:27 groupadd[2803342]: group added to /etc/group: name=rooter, GID=1838
<86>May 16 05:09:27 groupadd[2803342]: group added to /etc/gshadow: name=rooter
<86>May 16 05:09:27 groupadd[2803342]: new group: name=rooter, GID=1838
<86>May 16 05:09:27 useradd[2803369]: new user: name=rooter, UID=1838, GID=1838, home=/root, shell=/bin/bash, from=none
<86>May 16 05:09:27 userdel[2803420]: delete user 'builder'
<86>May 16 05:09:27 userdel[2803420]: removed group 'builder' owned by 'builder'
<86>May 16 05:09:27 userdel[2803420]: removed shadow group 'builder' owned by 'builder'
<86>May 16 05:09:27 groupadd[2803451]: group added to /etc/group: name=builder, GID=1839
<86>May 16 05:09:27 groupadd[2803451]: group added to /etc/gshadow: name=builder
<86>May 16 05:09:27 groupadd[2803451]: new group: name=builder, GID=1839
<86>May 16 05:09:27 useradd[2803480]: new user: name=builder, UID=1839, GID=1839, home=/usr/src, shell=/bin/bash, from=none
warning: Macro %cmake not found
warning: Macro %cmake_build not found
<13>May 16 05:09:34 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 05:09:34 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543080 installed
<13>May 16 05:09:34 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749230 installed
<13>May 16 05:09:34 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 05:09:34 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 05:09:34 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 05:09:34 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 05:09:34 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 05:09:34 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 05:09:34 rpmi: libusb-1.0.27-alt1 sisyphus+347412.100.1.1 1714739651 installed
<13>May 16 05:09:34 rpmi: libfribidi-1.0.16-alt1 sisyphus+358393.100.1.1 1727333692 installed
<13>May 16 05:09:34 rpmi: libsuitesparseconfig7-7.10.1-alt1 sisyphus+377064.100.1.2 1741261972 installed
<13>May 16 05:09:34 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
