<86>May 16 02:19:23 userdel[2187599]: delete user 'rooter'
<86>May 16 02:19:23 userdel[2187599]: removed group 'rooter' owned by 'rooter'
<86>May 16 02:19:23 userdel[2187599]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 02:19:23 groupadd[2187611]: group added to /etc/group: name=rooter, GID=1877
<86>May 16 02:19:23 groupadd[2187611]: group added to /etc/gshadow: name=rooter
<86>May 16 02:19:23 groupadd[2187611]: new group: name=rooter, GID=1877
<86>May 16 02:19:23 useradd[2187623]: new user: name=rooter, UID=1877, GID=1877, home=/root, shell=/bin/bash, from=none
<86>May 16 02:19:23 userdel[2187641]: delete user 'builder'
<86>May 16 02:19:23 userdel[2187641]: removed group 'builder' owned by 'builder'
<86>May 16 02:19:23 userdel[2187641]: removed shadow group 'builder' owned by 'builder'
<86>May 16 02:19:23 groupadd[2187656]: group added to /etc/group: name=builder, GID=1878
<86>May 16 02:19:23 groupadd[2187656]: group added to /etc/gshadow: name=builder
<86>May 16 02:19:23 groupadd[2187656]: new group: name=builder, GID=1878
<86>May 16 02:19:23 useradd[2187667]: new user: name=builder, UID=1878, GID=1878, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 02:19:28 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 16 02:19:28 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 02:19:28 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 02:19:28 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 02:19:28 rpmi: libboost_system1.86.0-1:1.86.0-alt2 sisyphus+375553.1040.4.1 1740170417 installed
<13>May 16 02:19:28 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424893 installed
<13>May 16 02:19:28 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 02:19:28 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 02:19:28 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 02:19:28 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 02:19:28 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 02:19:28 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 02:19:28 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
<13>May 16 02:19:28 rpmi: libflac14-1.5.0-alt1 sisyphus+374510.100.1.1 1739435174 installed
<13>May 16 02:19:28 rpmi: libvorbis-1.3.7-alt1 sisyphus+275738.100.1.1 1624751601 installed
<13>May 16 02:19:28 rpmi: libmpg123-1:1.32.10-alt1 sisyphus+365072.100.1.1 1734226035 installed
<13>May 16 02:19:28 rpmi: libwayland-server-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572111 installed
<13>May 16 02:19:29 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740138060 installed
<13>May 16 02:19:29 rpmi: zlib-devel-1.3.1-alt1 sisyphus+342532.100.1.1 1710232285 installed
