<86>May 16 01:52:23 userdel[3227261]: delete user 'rooter'
<86>May 16 01:52:23 userdel[3227261]: removed group 'rooter' owned by 'rooter'
<86>May 16 01:52:23 userdel[3227261]: removed shadow group 'rooter' owned by 'rooter'
<86>May 16 01:52:23 groupadd[3227281]: group added to /etc/group: name=rooter, GID=1874
<86>May 16 01:52:23 groupadd[3227281]: group added to /etc/gshadow: name=rooter
<86>May 16 01:52:23 groupadd[3227281]: new group: name=rooter, GID=1874
<86>May 16 01:52:23 useradd[3227303]: new user: name=rooter, UID=1874, GID=1874, home=/root, shell=/bin/bash, from=none
<86>May 16 01:52:23 userdel[3227335]: delete user 'builder'
<86>May 16 01:52:23 userdel[3227335]: removed group 'builder' owned by 'builder'
<86>May 16 01:52:23 userdel[3227335]: removed shadow group 'builder' owned by 'builder'
<86>May 16 01:52:23 groupadd[3227362]: group added to /etc/group: name=builder, GID=1875
<86>May 16 01:52:23 groupadd[3227362]: group added to /etc/gshadow: name=builder
<86>May 16 01:52:23 groupadd[3227362]: new group: name=builder, GID=1875
<86>May 16 01:52:23 useradd[3227380]: new user: name=builder, UID=1875, GID=1875, home=/usr/src, shell=/bin/bash, from=none
<13>May 16 01:52:26 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718968 installed
<13>May 16 01:52:26 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 01:52:26 rpmi: libp11-kit-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 01:52:26 rpmi: libtasn1-4.20.0-alt2 sisyphus+375829.100.1.1 1740299335 installed
<13>May 16 01:52:26 rpmi: libhogweed6-3.10.1-alt1 sisyphus+372008.100.1.1 1738078259 installed
<13>May 16 01:52:26 rpmi: libgnutls30-3.8.9-alt1 sisyphus+380042.200.2.1 1743618110 installed
<13>May 16 01:52:26 rpmi: libngtcp2.16-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 01:52:26 rpmi: libngtcp2_crypto_gnutls8-1.12.0-alt1 sisyphus+382655.200.1.1 1745743462 installed
<13>May 16 01:52:26 rpmi: gcc-c++-common-1.4.28-alt1 sisyphus+348678.100.1.1 1716396142 installed
<13>May 16 01:52:27 rpmi: libstdc++14-devel-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 01:52:27 rpmi: gcc14-c++-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 01:52:27 rpmi: cmake-modules-4.0.1-alt1 sisyphus+382689.100.1.1 1745786887 installed
<13>May 16 01:52:27 rpmi: libuv-1.50.0-alt1 sisyphus+377760.100.1.1 1741795923 installed
<13>May 16 01:52:27 rpmi: librhash-1.3.5-alt3 sisyphus+286141.40.2.1 1632982456 installed
<13>May 16 01:52:27 rpmi: libjsoncpp24-1.9.4-alt2 sisyphus+346331.200.2.1 1716448551 installed
<13>May 16 01:52:27 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519381 installed
<13>May 16 01:52:27 rpmi: publicsuffix-list-dafsa-20250416-alt1 sisyphus+381887.100.1.1 1744900874 installed
<13>May 16 01:52:28 rpmi: libpsl-0.21.5-alt1 sisyphus+338474.100.1.1 1705684769 installed
<13>May 16 01:52:28 rpmi: libnghttp3.9-1.9.0-alt1 sisyphus+382655.100.1.1 1745743397 installed
<13>May 16 01:52:28 rpmi: libnghttp2-1.65.0-alt1 sisyphus+377060.100.1.1 1741259309 installed
<13>May 16 01:52:28 rpmi: openldap-common-2.6.9-alt2 sisyphus+367501.300.4.1 1735841751 installed
<13>May 16 01:52:28 rpmi: libntlm-1.5-alt2 sisyphus+379810.500.4.1 1743501147 installed
<13>May 16 01:52:28 rpmi: libidn-1.37-alt2 sisyphus+300849.100.1.1 1653769687 installed
<13>May 16 01:52:28 rpmi: libverto-0.3.2-alt1_1 sisyphus+321176.2200.10.2 1684803947 installed
<13>May 16 01:52:28 rpmi: liblmdb-0.9.33-alt1 sisyphus+360625.100.1.1 1729819640 installed
<13>May 16 01:52:28 rpmi: libkeyutils-1.6.3-alt1 sisyphus+346336.200.2.2 1716472658 installed
<13>May 16 01:52:28 rpmi: libcom_err-1.47.1.0.10.ad56-alt2 sisyphus+363497.200.3.1 1732729908 installed
<13>May 16 01:52:28 rpmi: libbrotlicommon-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 01:52:28 rpmi: libbrotlidec-1.1.0-alt1 sisyphus+328501.100.1.1 1693598419 installed
<13>May 16 01:52:28 rpmi: openssl-config-3.2.0-alt1 sisyphus+366659.140.4.1 1736956949 installed
<13>May 16 01:52:28 rpmi: rpm-macros-cmake-4.0.0-alt1 sisyphus+380707.100.1.1 1744023402 installed
<13>May 16 01:52:28 rpmi: rpm-macros-alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 01:52:28 rpmi: alternatives-0.5.3-alt1 sisyphus+371878.100.1.1 1737988822 installed
<13>May 16 01:52:28 rpmi: ca-certificates-2025.05.12-alt1 sisyphus+383903.200.2.1 1747060316 installed
<13>May 16 01:52:28 rpmi: ca-trust-0.2.0-alt1 sisyphus+344843.100.1.1 1712743326 installed
<13>May 16 01:52:28 rpmi: p11-kit-trust-1:0.25.5-alt1 sisyphus+352553.100.1.1 1720622573 installed
<13>May 16 01:52:28 rpmi: libcrypto3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<13>May 16 01:52:28 rpmi: libssl3-3.3.3-alt1 sisyphus+374381.40.2.1 1739299401 installed
<86>May 16 01:52:28 groupadd[3239259]: group added to /etc/group: name=_keytab, GID=999
<86>May 16 01:52:28 groupadd[3239259]: group added to /etc/gshadow: name=_keytab
<86>May 16 01:52:28 groupadd[3239259]: new group: name=_keytab, GID=999
<13>May 16 01:52:28 rpmi: libkrb5-1.21.3-alt2 sisyphus+351857.100.1.1 1719735141 installed
<13>May 16 01:52:28 rpmi: libgsasl18-2.2.1-alt2 sisyphus+359713.200.2.1 1728905430 installed
<86>May 16 01:52:28 groupadd[3239332]: group added to /etc/group: name=sasl, GID=998
<86>May 16 01:52:28 groupadd[3239332]: group added to /etc/gshadow: name=sasl
<86>May 16 01:52:28 groupadd[3239332]: new group: name=sasl, GID=998
<13>May 16 01:52:28 rpmi: libsasl2-3-2.1.28-alt2.1 sisyphus+367419.100.1.1 1735482560 installed
<13>May 16 01:52:28 rpmi: libldap2-2.6.9-alt2 sisyphus+367501.300.4.1 1735841751 installed
<13>May 16 01:52:28 rpmi: libarchive13-3.7.9-alt1 sisyphus+384117.200.2.1 1747222433 installed
<13>May 16 01:52:28 rpmi: libssh2-1.11.0-alt2 sisyphus+339356.100.1.1 1706593137 installed
<13>May 16 01:52:28 rpmi: libcurl-8.13.0-alt1 sisyphus+380015.100.1.1 1743595100 installed
<13>May 16 01:52:28 rpmi: cmake-4.0.1-alt1 sisyphus+382689.100.1.1 1745786887 installed
<13>May 16 01:52:28 rpmi: gcc-c++-14-alt1 sisyphus+360995.300.1.1 1730139222 installed
<13>May 16 01:52:43 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781682 installed
<13>May 16 01:52:43 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449145 installed
<13>May 16 01:52:43 rpmi: libwebp7-1.5.0-alt1 sisyphus+376290.12500.24.2 1745387604 installed
<13>May 16 01:52:43 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626058929 installed
<13>May 16 01:52:43 rpmi: libSDL2-2.32.6-alt1 sisyphus+383337.100.1.1 1746466019 installed
<13>May 16 01:52:43 rpmi: liblcms2-2.17-alt1 sisyphus+376290.10700.24.2 1745385260 installed
<13>May 16 01:52:43 rpmi: libgomp1-14.2.1-alt1 sisyphus+360995.100.1.1 1730131018 installed
<13>May 16 01:52:43 rpmi: libltdl7-2.4.7-alt5 sisyphus+341963.200.3.1 1711659208 installed
<13>May 16 01:52:43 rpmi: libopenjpeg2.0-2.5.3-alt1 sisyphus+376290.11300.24.2 1745386888 installed
<13>May 16 01:52:43 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577555 installed
<13>May 16 01:52:43 rpmi: libfribidi-1.0.16-alt1 sisyphus+358393.100.1.1 1727333692 installed
<13>May 16 01:52:43 rpmi: libdeflate-1.24-alt1 sisyphus+384095.100.1.1 1747211183 installed
<13>May 16 01:52:43 rpmi: libtiff6-4.7.0-alt1 sisyphus+376290.174.24.2 1745358940 installed
<13>May 16 01:52:43 rpmi: libopenexrcore32-3.3.1-alt1 sisyphus+376389.140.5.2 1740869981 installed
<13>May 16 01:52:43 rpmi: libSDL2_image-2.8.8-alt1 sisyphus+376290.1140.24.2 1745365313 installed
<13>May 16 01:52:43 rpmi: libSM-1.2.4-alt1 sisyphus+312057.200.1.1 1671526916 installed
