<86>May 10 09:57:34 userdel[188430]: delete user 'rooter'
<86>May 10 09:57:34 userdel[188430]: removed group 'rooter' owned by 'rooter'
<86>May 10 09:57:34 userdel[188430]: removed shadow group 'rooter' owned by 'rooter'
<86>May 10 09:57:34 groupadd[188438]: group added to /etc/group: name=rooter, GID=1259
<86>May 10 09:57:34 groupadd[188438]: group added to /etc/gshadow: name=rooter
<86>May 10 09:57:34 groupadd[188438]: new group: name=rooter, GID=1259
<86>May 10 09:57:34 useradd[188455]: new user: name=rooter, UID=1259, GID=1259, home=/root, shell=/bin/bash, from=none
<86>May 10 09:57:34 userdel[188466]: delete user 'builder'
<86>May 10 09:57:34 userdel[188466]: removed group 'builder' owned by 'builder'
<86>May 10 09:57:34 userdel[188466]: removed shadow group 'builder' owned by 'builder'
<86>May 10 09:57:34 groupadd[188473]: group added to /etc/group: name=builder, GID=1260
<86>May 10 09:57:34 groupadd[188473]: group added to /etc/gshadow: name=builder
<86>May 10 09:57:34 groupadd[188473]: new group: name=builder, GID=1260
<86>May 10 09:57:34 useradd[188480]: new user: name=builder, UID=1260, GID=1260, home=/usr/src, shell=/bin/bash, from=none
<13>May 10 09:57:42 rpmi: rpm-build-compat-2.4.8-alt1 sisyphus+383198.100.1.1 1746298985 installed
<13>May 10 09:57:42 rpmi: rpm-build-intro-2.4.8-alt1 sisyphus+383198.100.1.1 1746298985 installed
<13>May 10 09:57:42 rpmi: rpm-macros-features-20250130-alt1 sisyphus+372110.100.1.1 1738185231 installed
<13>May 10 09:57:47 rpmi: xorg-proto-devel-2024.1-alt1 sisyphus+343583.40.1.1 1711440649 installed
<13>May 10 09:57:47 rpmi: libjpeg-2:3.0.2-alt2.1 sisyphus+340135.100.1.1 1707449053 installed
<13>May 10 09:57:47 rpmi: libexpat-2.7.1-alt1 sisyphus+379929.100.1.1 1743519386 installed
<13>May 10 09:57:47 rpmi: libsystemd-1:257.5-alt3 sisyphus+382915.200.3.1 1746543124 installed
<13>May 10 09:57:47 rpmi: libdbus-1.16.2-alt1 sisyphus+376383.100.1.1 1740749232 installed
<13>May 10 09:57:47 rpmi: libusb-1.0.27-alt1 sisyphus+347412.100.1.1 1714739652 installed
<13>May 10 09:57:47 rpmi: libwayland-client-1.23.1-alt1.1 sisyphus+356019.140.3.1 1724572108 installed
<13>May 10 09:57:47 rpmi: libpng16-1.6.42-alt2 sisyphus+339555.100.1.1 1706781690 installed
<13>May 10 09:57:47 rpmi: libtalloc-1:2.4.2-alt1 sisyphus+342425.200.8.1 1714749085 installed
<13>May 10 09:57:47 rpmi: libtevent-0.16.1-alt1 sisyphus+342425.400.8.1 1714749155 installed
<13>May 10 09:57:47 rpmi: libavahi-0.8-alt5 sisyphus+370646.100.1.1 1737385851 installed
<13>May 10 09:57:47 rpmi: libtdb-1.4.10-alt1 sisyphus+342425.100.8.1 1714748994 installed
<13>May 10 09:57:47 rpmi: libglvnd-7:1.7.0-alt1 sisyphus+330949.100.1.1 1696424894 installed
<13>May 10 09:57:47 rpmi: libcom_err-1.47.1.0.10.ad56-alt2 sisyphus+363497.200.3.1 1732729916 installed
<13>May 10 09:57:47 rpmi: libserd-0.32.4-alt1 sisyphus+370586.200.1.1 1737371864 installed
<13>May 10 09:57:47 rpmi: libltdl7-2.4.7-alt5 sisyphus+341963.200.3.1 1711659248 installed
<13>May 10 09:57:47 rpmi: libogg-1.3.5-alt1 sisyphus+278100.3400.1.1 1626059695 installed
<13>May 10 09:57:47 rpmi: libICE-1.1.1-alt1 sisyphus+311428.500.1.1 1670577559 installed
<13>May 10 09:57:47 rpmi: perl-HTTP-Date-6.06-alt1 sisyphus+324527.100.1.1 1688834564 installed
<13>May 10 09:57:47 rpmi: perl-XML-NamespaceSupport-1.12-alt1 1491296348 installed
<13>May 10 09:57:47 rpmi: libidn2-2.3.7-alt1 sisyphus+339505.100.1.2 1706718975 installed
<13>May 10 09:57:47 rpmi: libnettle8-3.10.1-alt1 sisyphus+372008.100.1.1 1738078268 installed
<13>May 10 09:57:48 rpmi: libicu76-1:7.6.1-alt1 sisyphus+375553.100.1.1 1740137918 installed
